% Model:              AC -220722 - Horn.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 22 2022, 22:22
% Dimension:          1
% Nodes:              481
% Expressions:        1
% Description:        Global
% freq (Hz)               FEM
200                       1021624.035094557
210                       893269.4700686239
220                       772558.0402969787
230                       658447.1410649782
240                       550065.2495904799
250                       446677.6118937771
260                       347659.84122342174
270                       252477.37640146152
280                       160669.33470973567
290                       71835.69805889482
300                       14372.945822006115
310                       98263.68463902535
320                       180108.01838785026
330                       260147.3800025855
340                       338597.6908216418
350                       415653.1445795979
360                       491489.37064981967
370                       566266.0947246004
380                       640129.3903366607
390                       713213.5955095086
400                       785642.954080314
410                       857533.0296874886
420                       928991.9313826853
430                       1000121.3826801509
440                       1071017.660182344
450                       1141772.4234180192
460                       1212473.453867685
470                       1283205.3182805488
480                       1354049.9690075996
490                       1425087.2921850625
500                       1496395.613070876
510                       1568052.1665975265
520                       1640133.5401974097
530                       1712716.0951697154
540                       1785876.3722213795
550                       1859691.4863298459
560                       1934239.5157034579
570                       2009599.8893679453
580                       2085853.7777275883
590                       2163084.490397571
600                       2241377.8855934776
610                       2320822.7954757395
620                       2401511.4720069454
630                       2483540.0581426336
640                       2567009.08953683
650                       2652024.032377288
660                       2738695.863519011
670                       2827141.699790639
680                       2917485.4841223434
690                       3009858.737162492
700                       3104401.3841957455
710                       3201262.668571689
720                       3300602.164505365
730                       3402590.90408104
740                       3507412.635624182
750                       3615265.233412758
760                       3726362.282036259
770                       3840934.86272752
780                       3959233.573813649
790                       4081530.823266015
800                       4208123.438393639
810                       4339335.646303846
820                       4475522.489270823
830                       4617073.752010682
840                       4764418.493757737
850                       4918030.297697653
860                       5078433.374815877
870                       5246209.689884715
880                       5422007.315955334
890                       5606550.272653467
900                       5800650.165983167
910                       6005220.027490656
920                       6221290.854219603
930                       6450031.4858904835
940                       6692772.633039298
950                       6951036.104734353
960                       7226570.598483514
970                       7521395.838899572
980                       7837857.429975742
990                       8178695.583637707
1000                      8547132.00111592
1010                      8946980.75931725
1020                      9382791.314576546
1030                      9860035.028224783
1040                      1.0385351493815314E7
1050                      1.0966878298097672E7
1060                      1.1614699159666644E7
1070                      1.2341463179203909E7
1080                      1.3163256607554268E7
1090                      1.4100856027035251E7
1100                      1.5181572948034124E7
1110                      1.644204324698106E7
1120                      1.7932578778868802E7
1130                      1.9724206923098154E7
1140                      2.1920557380461473E7
1150                      2.4678995017787993E7
1160                      2.825063917481761E7
1170                      3.3062407939201105E7
1180                      3.990349656728683E7
1190                      5.04131421463644E7
1200                      6.864685899618696E7
1210                      1.081265439973214E8
1220                      2.5816454337526527E8
1230                      6.395066841136765E8
1240                      1.4144738525518224E8
1250                      7.904114807319513E7
1260                      5.4595014021828644E7
1270                      4.154072447325948E7
1280                      3.3413291082672715E7
1290                      2.7861384922097404E7
1300                      2.3824484538263742E7
