Freq.	-V(n001)/I(V1)	-V(n056)/I(V2)
2.00000000000000e+002	(1.21374058194649e+002dB,-8.99999983146548e+001°)	(1.20365458906746e+002dB,8.99999967824603e+001°)
2.01000000000000e+002	(1.21268432201452e+002dB,-8.99999982931935e+001°)	(1.20411312059053e+002dB,8.99999967967252e+001°)
2.02000000000000e+002	(1.21162232912464e+002dB,-8.99999982713404e+001°)	(1.20456964133433e+002dB,8.99999968108383e+001°)
2.03000000000000e+002	(1.21055443822575e+002dB,-8.99999982490839e+001°)	(1.20502417273746e+002dB,8.99999968248019e+001°)
2.04000000000000e+002	(1.20948048039023e+002dB,-8.99999982264123e+001°)	(1.20547673592676e+002dB,8.99999968386181e+001°)
2.05000000000000e+002	(1.20840028264532e+002dB,-8.99999982033133e+001°)	(1.20592735172354e+002dB,8.99999968522890e+001°)
2.06000000000000e+002	(1.20731366779692e+002dB,-8.99999981797742e+001°)	(1.20637604064948e+002dB,8.99999968658168e+001°)
2.07000000000000e+002	(1.20622045424589e+002dB,-8.99999981557817e+001°)	(1.20682282293250e+002dB,8.99999968792035e+001°)
2.08000000000000e+002	(1.20512045579412e+002dB,-8.99999981313220e+001°)	(1.20726771851246e+002dB,8.99999968924511e+001°)
2.09000000000000e+002	(1.20401348144288e+002dB,-8.99999981063808e+001°)	(1.20771074704671e+002dB,8.99999969055614e+001°)
2.10000000000000e+002	(1.20289933518003e+002dB,-8.99999980809431e+001°)	(1.20815192791550e+002dB,8.99999969185366e+001°)
2.11000000000000e+002	(1.20177781575769e+002dB,-8.99999980549935e+001°)	(1.20859128022731e+002dB,8.99999969313785e+001°)
2.12000000000000e+002	(1.20064871645795e+002dB,-8.99999980285156e+001°)	(1.20902882282397e+002dB,8.99999969440888e+001°)
2.13000000000000e+002	(1.19951182484631e+002dB,-8.99999980014927e+001°)	(1.20946457428578e+002dB,8.99999969566696e+001°)
2.14000000000000e+002	(1.19836692251491e+002dB,-8.99999979739071e+001°)	(1.20989855293637e+002dB,8.99999969691224e+001°)
2.15000000000000e+002	(1.19721378480829e+002dB,-8.99999979457404e+001°)	(1.21033077684759e+002dB,8.99999969814491e+001°)
2.16000000000000e+002	(1.19605218053843e+002dB,-8.99999979169736e+001°)	(1.21076126384413e+002dB,8.99999969936515e+001°)
2.17000000000000e+002	(1.19488187168202e+002dB,-8.99999978875866e+001°)	(1.21119003150821e+002dB,8.99999970057311e+001°)
2.18000000000000e+002	(1.19370261306311e+002dB,-8.99999978575584e+001°)	(1.21161709718400e+002dB,8.99999970176897e+001°)
2.19000000000000e+002	(1.19251415201646e+002dB,-8.99999978268674e+001°)	(1.21204247798204e+002dB,8.99999970295288e+001°)
2.20000000000000e+002	(1.19131622803370e+002dB,-8.99999977954906e+001°)	(1.21246619078353e+002dB,8.99999970412501e+001°)
2.21000000000000e+002	(1.19010857238909e+002dB,-8.99999977634042e+001°)	(1.21288825224451e+002dB,8.99999970528552e+001°)
2.22000000000000e+002	(1.18889090774278e+002dB,-8.99999977305831e+001°)	(1.21330867879998e+002dB,8.99999970643455e+001°)
2.23000000000000e+002	(1.18766294772352e+002dB,-8.99999976970012e+001°)	(1.21372748666788e+002dB,8.99999970757227e+001°)
2.24000000000000e+002	(1.18642439648422e+002dB,-8.99999976626310e+001°)	(1.21414469185300e+002dB,8.99999970869881e+001°)
2.25000000000000e+002	(1.18517494823266e+002dB,-8.99999976274439e+001°)	(1.21456031015086e+002dB,8.99999970981432e+001°)
2.26000000000000e+002	(1.18391428673399e+002dB,-8.99999975914096e+001°)	(1.21497435715140e+002dB,8.99999971091895e+001°)
2.27000000000000e+002	(1.18264208478215e+002dB,-8.99999975544964e+001°)	(1.21538684824268e+002dB,8.99999971201284e+001°)
2.28000000000000e+002	(1.18135800363930e+002dB,-8.99999975166712e+001°)	(1.21579779861442e+002dB,8.99999971309612e+001°)
2.29000000000000e+002	(1.18006169243902e+002dB,-8.99999974778990e+001°)	(1.21620722326154e+002dB,8.99999971416893e+001°)
2.30000000000000e+002	(1.17875278755381e+002dB,-8.99999974381430e+001°)	(1.21661513698760e+002dB,8.99999971523141e+001°)
2.31000000000000e+002	(1.17743091191916e+002dB,-8.99999973973646e+001°)	(1.21702155440810e+002dB,8.99999971628368e+001°)
2.32000000000000e+002	(1.17609567431573e+002dB,-8.99999973555231e+001°)	(1.21742648995380e+002dB,8.99999971732588e+001°)
2.33000000000000e+002	(1.17474666860307e+002dB,-8.99999973125756e+001°)	(1.21782995787393e+002dB,8.99999971835812e+001°)
2.34000000000000e+002	(1.17338347290184e+002dB,-8.99999972684769e+001°)	(1.21823197223932e+002dB,8.99999971938054e+001°)
2.35000000000000e+002	(1.17200564872066e+002dB,-8.99999972231794e+001°)	(1.21863254694547e+002dB,8.99999972039326e+001°)
2.36000000000000e+002	(1.17061274002335e+002dB,-8.99999971766327e+001°)	(1.21903169571558e+002dB,8.99999972139639e+001°)
2.37000000000000e+002	(1.16920427222920e+002dB,-8.99999971287835e+001°)	(1.21942943210349e+002dB,8.99999972239006e+001°)
2.38000000000000e+002	(1.16777975114478e+002dB,-8.99999970795757e+001°)	(1.21982576949656e+002dB,8.99999972337438e+001°)
2.39000000000000e+002	(1.16633866181564e+002dB,-8.99999970289497e+001°)	(1.22022072111850e+002dB,8.99999972434946e+001°)
2.40000000000000e+002	(1.16488046729745e+002dB,-8.99999969768424e+001°)	(1.22061430003211e+002dB,8.99999972531542e+001°)
2.41000000000000e+002	(1.16340460733268e+002dB,-8.99999969231870e+001°)	(1.22100651914203e+002dB,8.99999972627237e+001°)
2.42000000000000e+002	(1.16191049693012e+002dB,-8.99999968679127e+001°)	(1.22139739119739e+002dB,8.99999972722041e+001°)
2.43000000000000e+002	(1.16039752483392e+002dB,-8.99999968109441e+001°)	(1.22178692879437e+002dB,8.99999972815965e+001°)
