Freq.	-V(n002)/I(I1)
1.00000000000000e+000	(8.51653322512437e+001dB,8.99996896694323e+001°)
2.00000000000000e+000	(9.11861983988162e+001dB,8.99997397149310e+001°)
3.00000000000000e+000	(9.47084673250882e+001dB,8.99997096595838e+001°)
4.00000000000000e+000	(9.72078633451199e+001dB,8.99996595595845e+001°)
5.00000000000000e+000	(9.91468624804944e+001dB,8.99996014199428e+001°)
6.00000000000000e+000	(1.00731463921427e+002dB,8.99995392371304e+001°)
7.00000000000000e+000	(1.02071553948990e+002dB,8.99994747194577e+001°)
8.00000000000000e+000	(1.03232724921472e+002dB,8.99994087171663e+001°)
9.00000000000000e+000	(1.04257285297155e+002dB,8.99993416991252e+001°)
1.00000000000000e+001	(1.05174123037584e+002dB,8.99992739435081e+001°)
1.10000000000000e+001	(1.06003842793983e+002dB,8.99992056244637e+001°)
1.20000000000000e+001	(1.06761658323461e+002dB,8.99991368554500e+001°)
1.30000000000000e+001	(1.07459123166156e+002dB,8.99990677125670e+001°)
1.40000000000000e+001	(1.08105218117238e+002dB,8.99989982478889e+001°)
1.50000000000000e+001	(1.08707062607905e+002dB,8.99989284974624e+001°)
1.60000000000000e+001	(1.09270396028851e+002dB,8.99988584863054e+001°)
1.70000000000000e+001	(1.09799912877500e+002dB,8.99987882316397e+001°)
1.80000000000000e+001	(1.10299501964029e+002dB,8.99987177450465e+001°)
1.90000000000000e+001	(1.10772420856612e+002dB,8.99986470339401e+001°)
2.00000000000000e+001	(1.11221425528959e+002dB,8.99985761025983e+001°)
2.10000000000000e+001	(1.11648868343261e+002dB,8.99985049528986e+001°)
2.20000000000000e+001	(1.12056773218300e+002dB,8.99984335848529e+001°)
2.30000000000000e+001	(1.12446894074842e+002dB,8.99983619970012e+001°)
2.40000000000000e+001	(1.12820760833176e+002dB,8.99982901867077e+001°)
2.50000000000000e+001	(1.13179716014653e+002dB,8.99982181503840e+001°)
2.60000000000000e+001	(1.13524944160314e+002dB,8.99981458836613e+001°)
