% Model:              AC_Overall.mph
% Version:            COMSOL 6.0.0.405
% Date:               Aug 2 2022, 16:09
% Dimension:          1
% Nodes:              961
% Expressions:        1
% Description:        Global
% freq (Hz)               Value
200                       2856033.692145537
205                       3021666.6537338076
210                       3201670.4124101144
215                       3398238.901077654
220                       3614031.07905666
225                       3852301.4334054464
230                       4117077.021255632
235                       4413401.647734815
240                       4747678.878697347
245                       5128163.949643074
250                       5565685.84666879
255                       6074735.850299639
260                       6675159.570712282
265                       7394882.552526795
270                       8274489.523539259
275                       9375316.024691433
280                       1.0794656207720578E7
285                       1.2696642072729358E7
290                       1.538154152641879E7
295                       1.9463828631249893E7
300                       2.6428774467348307E7
305                       4.1021198775698714E7
310                       9.104889411969459E7
315                       4.1865274681586903E8
320                       6.374305691253391E7
325                       3.450135681249405E7
330                       2.3652492180354368E7
335                       1.799017111553878E7
340                       1.4509448781089429E7
345                       1.2150931011574939E7
350                       1.044557776076368E7
355                       9153763.849398414
360                       8140297.721943347
365                       7323117.499314046
370                       6649525.469739659
375                       6084131.71393425
380                       5602287.082602477
385                       5186295.29655276
390                       4823122.445289264
395                       4502955.978584405
400                       4218267.019829654
405                       3963182.180730049
410                       3733051.907907884
415                       3524147.181435565
420                       3333442.140456737
425                       3158455.5140140713
430                       2997133.098109003
435                       2847759.393383787
440                       2708890.297909236
445                       2579301.222819468
450                       2457946.6596175656
455                       2343928.353198995
460                       2236470.016230429
465                       2134897.06711405
470                       2038620.2634631742
475                       1947122.3833114854
480                       1859947.3107170346
485                       1776691.0331110405
490                       1696994.169477806
495                       1620535.732815926
500                       1547027.89429922
505                       1476211.5647440366
510                       1407852.64716646
515                       1341738.8428666964
520                       1277676.916516566
525                       1215490.3435183289
530                       1155017.2769830707
535                       1096108.7832436026
540                       1038627.3034092947
545                       982445.3061314151
550                       927444.1024551776
555                       873512.7983349687
560                       820547.3645547456
565                       768449.8068129861
570                       717127.4216108287
575                       666492.1259032615
580                       616459.8506395296
585                       566949.9904915742
590                       517884.90458128124
595                       469189.46660022193
600                       420790.66873477056
605                       372617.29589150107
610                       324599.7138309569
615                       276669.8838080281
620                       228761.91533004987
625                       180814.14620762298
630                       132776.63944874427
635                       84645.82741747322
640                       36777.2689636689
645                       16560.890226555613
650                       63574.71535878697
655                       113130.89810167803
660                       163470.17270030518
665                       214541.18950647197
