Input File: H12.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 800
Start Freq.: 100 Hz
Stop  Freq.: 5 kHz
Sweep Type: Linear
Auto Level: Off
Amplitude: 1000.0 mV
Source Ramping: On
Ramp Rate:          1 V/S
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:   10
Integration Time:   15.625 ms
Integration Cycles:   20

    X[Hz]         Mag[dB]     
  1.000000e+02  -3.217855e-01 
  1.061327e+02  -3.121905e-01 
  1.122653e+02  -2.971254e-01 
  1.183980e+02  -2.929311e-01 
  1.245307e+02  -2.695756e-01 
  1.306633e+02  -2.570827e-01 
  1.367960e+02  -2.392849e-01 
  1.429287e+02  -2.249964e-01 
  1.490613e+02  -2.051144e-01 
  1.551940e+02  -1.871205e-01 
  1.613267e+02  -1.671998e-01 
  1.674593e+02  -1.478518e-01 
  1.735920e+02  -1.278842e-01 
  1.797247e+02  -1.025958e-01 
  1.858573e+02  -7.947153e-02 
  1.919900e+02  -5.698291e-02 
  1.981227e+02  -3.261223e-02 
  2.042553e+02  -5.796767e-03 
  2.103880e+02   1.892582e-02 
  2.165206e+02   4.666692e-02 
  2.226533e+02   7.836466e-02 
  2.287860e+02   1.085576e-01 
  2.349187e+02   1.473665e-01 
  2.410513e+02   1.853410e-01 
  2.471840e+02   2.249050e-01 
  2.533167e+02   2.626965e-01 
  2.594493e+02   2.995280e-01 
  2.655820e+02   3.403369e-01 
  2.717146e+02   3.793237e-01 
  2.778473e+02   4.224453e-01 
  2.839800e+02   4.659271e-01 
  2.901126e+02   5.119153e-01 
  2.962453e+02   5.598177e-01 
  3.023780e+02   6.102077e-01 
  3.085107e+02   6.636689e-01 
  3.146433e+02   7.175153e-01 
  3.207760e+02   7.743123e-01 
  3.269086e+02   8.351272e-01 
  3.330413e+02   8.982992e-01 
  3.391740e+02   9.636038e-01 
  3.453066e+02   1.033253e+00 
  3.514393e+02   1.105586e+00 
  3.575720e+02   1.181563e+00 
  3.637046e+02   1.260881e+00 
  3.698373e+02   1.344373e+00 
  3.759700e+02   1.432224e+00 
  3.821026e+02   1.525227e+00 
  3.882353e+02   1.622873e+00 
  3.943680e+02   1.726821e+00 
  4.005006e+02   1.837055e+00 
  4.066333e+02   1.954520e+00 
  4.127660e+02   2.079847e+00 
  4.188986e+02   2.213668e+00 
  4.250313e+02   2.357375e+00 
  4.311639e+02   2.512049e+00 
  4.372966e+02   2.679134e+00 
  4.434293e+02   2.860562e+00 
  4.495620e+02   3.056906e+00 
  4.556946e+02   3.271298e+00 
  4.618273e+02   3.507230e+00 
  4.679600e+02   3.767378e+00 
  4.740926e+02   4.055559e+00 
  4.802253e+02   4.380501e+00 
  4.863579e+02   4.747034e+00 
  4.924906e+02   5.161472e+00 
  4.986233e+02   5.641153e+00 
  5.047560e+02   6.199974e+00 
  5.108886e+02   6.867148e+00 
  5.170213e+02   7.670232e+00 
  5.231539e+02   8.663193e+00 
  5.292866e+02   9.923004e+00 
  5.354193e+02   1.155880e+01 
  5.415519e+02   1.370061e+01 
  5.476846e+02   1.608241e+01 
  5.538173e+02   1.627877e+01 
  5.599500e+02   1.263839e+01 
  5.660826e+02   8.432549e+00 
  5.722153e+02   4.623634e+00 
  5.783480e+02   1.084705e+00 
  5.844806e+02  -2.413015e+00 
  5.906133e+02  -6.054772e+00 
  5.967459e+02  -9.964997e+00 
  6.028786e+02  -1.417098e+01 
  6.090113e+02  -1.648042e+01 
  6.151439e+02  -1.498111e+01 
  6.212766e+02  -1.266694e+01 
  6.274092e+02  -1.077606e+01 
  6.335419e+02  -9.305448e+00 
  6.396746e+02  -8.158624e+00 
  6.458073e+02  -7.254459e+00 
  6.519399e+02  -6.498187e+00 
  6.580726e+02  -5.859053e+00 
  6.642053e+02  -5.309931e+00 
  6.703380e+02  -4.824307e+00 
  6.764706e+02  -4.395875e+00 
  6.826033e+02  -4.010038e+00 
  6.887359e+02  -3.662747e+00 
  6.948686e+02  -3.351861e+00 
  7.010013e+02  -3.062489e+00 
  7.071339e+02  -2.789435e+00 
  7.132666e+02  -2.536276e+00 
  7.193992e+02  -2.299467e+00 
  7.255319e+02  -2.072799e+00 
  7.316646e+02  -1.857939e+00 
  7.377972e+02  -1.645857e+00 
  7.439299e+02  -1.448715e+00 
  7.500626e+02  -1.245540e+00 
  7.561953e+02  -1.050366e+00 
  7.623279e+02  -8.639847e-01 
  7.684606e+02  -6.825411e-01 
  7.745933e+02  -4.962000e-01 
  7.807259e+02  -3.139274e-01 
  7.868586e+02  -1.269359e-01 
  7.929912e+02   4.505911e-02 
  7.991239e+02   2.320910e-01 
  8.052566e+02   3.841682e-01 
  8.113892e+02   5.829891e-01 
  8.175219e+02   7.824605e-01 
  8.236545e+02   9.888644e-01 
  8.297872e+02   1.171766e+00 
  8.359199e+02   1.377403e+00 
  8.420526e+02   1.583089e+00 
  8.481852e+02   1.808457e+00 
  8.543179e+02   2.052027e+00 
  8.604506e+02   2.305919e+00 
  8.665833e+02   2.502669e+00 
  8.727159e+02   2.756918e+00 
  8.788486e+02   2.993015e+00 
  8.849812e+02   3.268404e+00 
  8.911139e+02   3.584307e+00 
  8.972466e+02   3.913331e+00 
  9.033792e+02   4.249903e+00 
  9.095119e+02   4.624553e+00 
  9.156445e+02   5.047915e+00 
  9.217772e+02   5.489316e+00 
  9.279099e+02   6.003075e+00 
  9.340425e+02   6.556993e+00 
  9.401752e+02   7.172005e+00 
  9.463079e+02   7.837715e+00 
  9.524406e+02   8.614724e+00 
  9.585732e+02   9.494146e+00 
  9.647059e+02   1.050103e+01 
  9.708386e+02   1.170477e+01 
  9.769712e+02   1.304260e+01 
  9.831039e+02   1.443682e+01 
  9.892366e+02   1.531535e+01 
  9.953692e+02   1.513374e+01 
  1.001502e+03   1.381759e+01 
  1.007635e+03   1.155880e+01 
  1.013767e+03   9.311947e+00 
  1.019900e+03   7.042258e+00 
  1.026033e+03   4.810448e+00 
  1.032165e+03   2.674329e+00 
  1.038298e+03   6.587350e-01 
  1.044431e+03  -1.436036e+00 
  1.050563e+03  -3.603466e+00 
  1.056696e+03  -5.613070e+00 
  1.062828e+03  -7.749044e+00 
  1.068961e+03  -1.004868e+01 
  1.075094e+03  -1.221584e+01 
  1.081227e+03  -1.390117e+01 
  1.087359e+03  -1.402013e+01 
  1.093492e+03  -1.287961e+01 
  1.099625e+03  -1.259147e+01 
  1.105757e+03  -1.209323e+01 
  1.111890e+03  -1.089308e+01 
  1.118023e+03  -9.824925e+00 
  1.124155e+03  -8.830471e+00 
  1.130288e+03  -7.961210e+00 
  1.136421e+03  -7.178852e+00 
  1.142553e+03  -6.460817e+00 
  1.148686e+03  -5.825198e+00 
  1.154818e+03  -5.346473e+00 
  1.160951e+03  -4.687812e+00 
  1.167084e+03  -4.236349e+00 
  1.173217e+03  -3.728992e+00 
  1.179349e+03  -3.238448e+00 
  1.185482e+03  -2.828566e+00 
  1.191615e+03  -2.426656e+00 
  1.197747e+03  -2.017788e+00 
  1.203880e+03  -1.671014e+00 
  1.210013e+03  -1.278139e+00 
  1.216145e+03  -9.129661e-01 
  1.222278e+03  -5.316668e-01 
  1.228411e+03  -1.704616e-01 
  1.234543e+03   1.567314e-01 
  1.240676e+03   5.106316e-01 
  1.246808e+03   9.243795e-01 
  1.252941e+03   1.328038e+00 
  1.259074e+03   1.744194e+00 
  1.265207e+03   2.152231e+00 
  1.271339e+03   2.572320e+00 
  1.277472e+03   3.007732e+00 
  1.283604e+03   3.481966e+00 
  1.289737e+03   3.979508e+00 
  1.295870e+03   4.499523e+00 
  1.302003e+03   5.056664e+00 
  1.308135e+03   5.616949e+00 
  1.314268e+03   6.255622e+00 
  1.320401e+03   6.923753e+00 
  1.326533e+03   7.754230e+00 
  1.332666e+03   8.579669e+00 
  1.338798e+03   9.326759e+00 
  1.344931e+03   1.006546e+01 
  1.351064e+03   1.051519e+01 
  1.357197e+03   1.056742e+01 
  1.363329e+03   9.936889e+00 
  1.369462e+03   9.156525e+00 
  1.375594e+03   7.770465e+00 
  1.381727e+03   6.123810e+00 
  1.387860e+03   4.376391e+00 
  1.393992e+03   2.710770e+00 
  1.400125e+03   1.099990e+00 
  1.406258e+03  -4.895162e-01 
  1.412391e+03  -2.177904e+00 
  1.418523e+03  -3.887275e+00 
  1.424656e+03  -5.514635e+00 
  1.430788e+03  -7.147004e+00 
  1.436921e+03  -8.673338e+00 
  1.443054e+03  -1.005256e+01 
  1.449187e+03  -1.155222e+01 
  1.455319e+03  -1.245086e+01 
  1.461452e+03  -1.233227e+01 
  1.467584e+03  -1.187925e+01 
  1.473717e+03  -1.175115e+01 
  1.479850e+03  -1.103712e+01 
  1.485982e+03  -1.020665e+01 
  1.492115e+03  -9.277732e+00 
  1.498248e+03  -8.459494e+00 
  1.504380e+03  -7.729489e+00 
  1.510513e+03  -7.102144e+00 
  1.516646e+03  -6.477752e+00 
  1.522778e+03  -5.849212e+00 
  1.528911e+03  -5.311741e+00 
  1.535044e+03  -4.794772e+00 
  1.541177e+03  -4.313447e+00 
  1.547309e+03  -3.934566e+00 
  1.553442e+03  -3.508909e+00 
  1.559574e+03  -3.061487e+00 
  1.565707e+03  -2.661288e+00 
  1.571840e+03  -2.307655e+00 
  1.577972e+03  -1.910540e+00 
  1.584105e+03  -1.555996e+00 
  1.590238e+03  -1.183183e+00 
  1.596370e+03  -8.454537e-01 
  1.602503e+03  -4.954069e-01 
  1.608636e+03  -1.318582e-01 
