Freq.	-V(n001)/I(V2)	-V(n023)/I(V1)
1.00000000000000e+000	(1.82448920492957e+002dB,-8.99999999996901e+001°)	(8.20036409056919e+001dB,8.99999044649802e+001°)
2.00000000000000e+000	(1.76428238020175e+002dB,-8.99999999993798e+001°)	(8.80243232860914e+001dB,8.99999522320473e+001°)
3.00000000000000e+000	(1.72906275135937e+002dB,-8.99999999990697e+001°)	(9.15462859148593e+001dB,8.99999681542063e+001°)
4.00000000000000e+000	(1.70407307612077e+002dB,-8.99999999987595e+001°)	(9.40452530788697e+001dB,8.99999761151381e+001°)
5.00000000000000e+000	(1.68468859471328e+002dB,-8.99999999984494e+001°)	(9.59837007601915e+001dB,8.99999808915791e+001°)
6.00000000000000e+000	(1.66884931563888e+002dB,-8.99999999981391e+001°)	(9.75676280982145e+001dB,8.99999840757746e+001°)
7.00000000000000e+000	(1.65545637678914e+002dB,-8.99999999978289e+001°)	(9.89069213118650e+001dB,8.99999863501156e+001°)
8.00000000000000e+000	(1.64385385532509e+002dB,-8.99999999975185e+001°)	(1.00067172685951e+002dB,8.99999880557975e+001°)
9.00000000000000e+000	(1.63361866747161e+002dB,-8.99999999972082e+001°)	(1.01090690593917e+002dB,8.99999893823732e+001°)
1.00000000000000e+001	(1.62446193459483e+002dB,-8.99999999968977e+001°)	(1.02006362901098e+002dB,8.99999904435746e+001°)
1.10000000000000e+001	(1.61617761126447e+002dB,-8.99999999965872e+001°)	(1.02834794151110e+002dB,8.99999913117765e+001°)
1.20000000000000e+001	(1.60861356109475e+002dB,-8.99999999962765e+001°)	(1.03591197982027e+002dB,8.99999920352287e+001°)
1.30000000000000e+001	(1.60165424998578e+002dB,-8.99999999959658e+001°)	(1.04287127803495e+002dB,8.99999926473350e+001°)
1.40000000000000e+001	(1.59520987140983e+002dB,-8.99999999956550e+001°)	(1.04931564268709e+002dB,8.99999931719552e+001°)
1.50000000000000e+001	(1.58920923258898e+002dB,-8.99999999953440e+001°)	(1.05531626655366e+002dB,8.99999936265865e+001°)
1.60000000000000e+001	(1.58359494126279e+002dB,-8.99999999950329e+001°)	(1.06093054189099e+002dB,8.99999940243517e+001°)
1.70000000000000e+001	(1.57832005422646e+002dB,-8.99999999947217e+001°)	(1.06620541190671e+002dB,8.99999943752860e+001°)
1.80000000000000e+001	(1.57334568526358e+002dB,-8.99999999944104e+001°)	(1.07117976281947e+002dB,8.99999946871946e+001°)
1.90000000000000e+001	(1.56863926068938e+002dB,-8.99999999940989e+001°)	(1.07588616831100e+002dB,8.99999949662394e+001°)
2.00000000000000e+001	(1.56417322288583e+002dB,-8.99999999937873e+001°)	(1.08035218600094e+002dB,8.99999952173499e+001°)
2.10000000000000e+001	(1.55992405046467e+002dB,-8.99999999934755e+001°)	(1.08460133727579e+002dB,8.99999954445166e+001°)
2.20000000000000e+001	(1.55587150659307e+002dB,-8.99999999931635e+001°)	(1.08865385896942e+002dB,8.99999956510047e+001°)
2.30000000000000e+001	(1.55199805453737e+002dB,-8.99999999928514e+001°)	(1.09252728781641e+002dB,8.99999958395113e+001°)
2.40000000000000e+001	(1.54828839768812e+002dB,-8.99999999925390e+001°)	(1.09623692042687e+002dB,8.99999960122841e+001°)
2.50000000000000e+001	(1.54472911354433e+002dB,-8.99999999922265e+001°)	(1.09979617930111e+002dB,8.99999961712111e+001°)
2.60000000000000e+001	(1.54130835952488e+002dB,-8.99999999919137e+001°)	(1.10321690701525e+002dB,8.99999963178898e+001°)
2.70000000000000e+001	(1.53801563435043e+002dB,-8.99999999916008e+001°)	(1.10650960485625e+002dB,8.99999964536812e+001°)
2.80000000000000e+001	(1.53484158280479e+002dB,-8.99999999912876e+001°)	(1.10968362803704e+002dB,8.99999965797516e+001°)
2.90000000000000e+001	(1.53177783480352e+002dB,-8.99999999909742e+001°)	(1.11274734664020e+002dB,8.99999966971068e+001°)
3.00000000000000e+001	(1.52881687174981e+002dB,-8.99999999906606e+001°)	(1.11570827926581e+002dB,8.99999968066182e+001°)
3.10000000000000e+001	(1.52595191479866e+002dB,-8.99999999903467e+001°)	(1.11857320475699e+002dB,8.99999969090448e+001°)
3.20000000000000e+001	(1.52317683088300e+002dB,-8.99999999900326e+001°)	(1.12134825618149e+002dB,8.99999970050507e+001°)
3.30000000000000e+001	(1.52048605319419e+002dB,-8.99999999897182e+001°)	(1.12403900034711e+002dB,8.99999970952198e+001°)
3.40000000000000e+001	(1.51787451354307e+002dB,-8.99999999894035e+001°)	(1.12665050544346e+002dB,8.99999971800669e+001°)
3.50000000000000e+001	(1.51533758452487e+002dB,-8.99999999890886e+001°)	(1.12918739887607e+002dB,8.99999972600482e+001°)
3.60000000000000e+001	(1.51287102983171e+002dB,-8.99999999887733e+001°)	(1.13165391695144e+002dB,8.99999973355692e+001°)
3.70000000000000e+001	(1.51047096138061e+002dB,-8.99999999884578e+001°)	(1.13405394775313e+002dB,8.99999974069914e+001°)
3.80000000000000e+001	(1.50813380215485e+002dB,-8.99999999881420e+001°)	(1.13639106829883e+002dB,8.99999974746384e+001°)
3.90000000000000e+001	(1.50585625387169e+002dB,-8.99999999878258e+001°)	(1.13866857687020e+002dB,8.99999975388006e+001°)
4.00000000000000e+001	(1.50363526874860e+002dB,-8.99999999875094e+001°)	(1.14088952124882e+002dB,8.99999975997393e+001°)
4.10000000000000e+001	(1.50146802475804e+002dB,-8.99999999871926e+001°)	(1.14305672346515e+002dB,8.99999976576904e+001°)
4.20000000000000e+001	(1.49935190385124e+002dB,-8.99999999868754e+001°)	(1.14517280156479e+002dB,8.99999977128672e+001°)
4.30000000000000e+001	(1.49728447276522e+002dB,-8.99999999865579e+001°)	(1.14724018881319e+002dB,8.99999977654632e+001°)
4.40000000000000e+001	(1.49526346601664e+002dB,-8.99999999862401e+001°)	(1.14926115069236e+002dB,8.99999978156544e+001°)
4.50000000000000e+001	(1.49328677082033e+002dB,-8.99999999859219e+001°)	(1.15123779998732e+002dB,8.99999978636011e+001°)
4.60000000000000e+001	(1.49135241366063e+002dB,-8.99999999856033e+001°)	(1.15317211021429e+002dB,8.99999979094495e+001°)
4.70000000000000e+001	(1.48945854830683e+002dB,-8.99999999852844e+001°)	(1.15506592760462e+002dB,8.99999979533337e+001°)
4.80000000000000e+001	(1.48760344508861e+002dB,-8.99999999849650e+001°)	(1.15692098182696e+002dB,8.99999979953763e+001°)
4.90000000000000e+001	(1.48578548128407e+002dB,-8.99999999846452e+001°)	(1.15873889560389e+002dB,8.99999980356900e+001°)
5.00000000000000e+001	(1.48400313247316e+002dB,-8.99999999843251e+001°)	(1.16052119335682e+002dB,8.99999980743786e+001°)
5.10000000000000e+001	(1.48225496474440e+002dB,-8.99999999840045e+001°)	(1.16226930899497e+002dB,8.99999981115377e+001°)
5.20000000000000e+001	(1.48053962766983e+002dB,-8.99999999836835e+001°)	(1.16398459294784e+002dB,8.99999981472553e+001°)
5.30000000000000e+001	(1.47885584793668e+002dB,-8.99999999833621e+001°)	(1.16566831852790e+002dB,8.99999981816132e+001°)
5.40000000000000e+001	(1.47720242358164e+002dB,-8.99999999830402e+001°)	(1.16732168769848e+002dB,8.99999982146867e+001°)
5.50000000000000e+001	(1.47557821875112e+002dB,-8.99999999827178e+001°)	(1.16894583631246e+002dB,8.99999982465459e+001°)
5.60000000000000e+001	(1.47398215893696e+002dB,-8.99999999823950e+001°)	(1.17054183887887e+002dB,8.99999982772559e+001°)
5.70000000000000e+001	(1.47241322662891e+002dB,-8.99999999820717e+001°)	(1.17211071290764e+002dB,8.99999983068771e+001°)
5.80000000000000e+001	(1.47087045734939e+002dB,-8.99999999817480e+001°)	(1.17365342287654e+002dB,8.99999983354657e+001°)
5.90000000000000e+001	(1.46935293602472e+002dB,-8.99999999814237e+001°)	(1.17517088385891e+002dB,8.99999983630743e+001°)
6.00000000000000e+001	(1.46785979366297e+002dB,-8.99999999810990e+001°)	(1.17666396484658e+002dB,8.99999983897518e+001°)
6.10000000000000e+001	(1.46639020430605e+002dB,-8.99999999807737e+001°)	(1.17813349179817e+002dB,8.99999984155440e+001°)
6.20000000000000e+001	(1.46494338222779e+002dB,-8.99999999804480e+001°)	(1.17958025043942e+002dB,8.99999984404936e+001°)
6.30000000000000e+001	(1.46351857935890e+002dB,-8.99999999801217e+001°)	(1.18100498883958e+002dB,8.99999984646408e+001°)
6.40000000000000e+001	(1.46211508291366e+002dB,-8.99999999797948e+001°)	(1.18240841978483e+002dB,8.99999984880232e+001°)
6.50000000000000e+001	(1.46073221319915e+002dB,-8.99999999794674e+001°)	(1.18379122296780e+002dB,8.99999985106759e+001°)
6.60000000000000e+001	(1.45936932159378e+002dB,-8.99999999791395e+001°)	(1.18515404700985e+002dB,8.99999985326322e+001°)
6.70000000000000e+001	(1.45802578867771e+002dB,-8.99999999788110e+001°)	(1.18649751133129e+002dB,8.99999985539231e+001°)
6.80000000000000e+001	(1.45670102249994e+002dB,-8.99999999784819e+001°)	(1.18782220788314e+002dB,8.99999985745781e+001°)
6.90000000000000e+001	(1.45539445697284e+002dB,-8.99999999781522e+001°)	(1.18912870275241e+002dB,8.99999985946247e+001°)
7.00000000000000e+001	(1.45410555038393e+002dB,-8.99999999778220e+001°)	(1.19041753765186e+002dB,8.99999986140890e+001°)
7.10000000000000e+001	(1.45283378401048e+002dB,-8.99999999774911e+001°)	(1.19168923130421e+002dB,8.99999986329955e+001°)
7.20000000000000e+001	(1.45157866083276e+002dB,-8.99999999771596e+001°)	(1.19294428072942e+002dB,8.99999986513674e+001°)
7.30000000000000e+001	(1.45033970433476e+002dB,-8.99999999768275e+001°)	(1.19418316244331e+002dB,8.99999986692267e+001°)
7.40000000000000e+001	(1.44911645738797e+002dB,-8.99999999764948e+001°)	(1.19540633357453e+002dB,8.99999986865941e+001°)
7.50000000000000e+001	(1.44790848120860e+002dB,-8.99999999761614e+001°)	(1.19661423290668e+002dB,8.99999987034893e+001°)
7.60000000000000e+001	(1.44671535438518e+002dB,-8.99999999758274e+001°)	(1.19780728185131e+002dB,8.99999987199308e+001°)
7.70000000000000e+001	(1.44553667196869e+002dB,-8.99999999754927e+001°)	(1.19898588535743e+002dB,8.99999987359364e+001°)
7.80000000000000e+001	(1.44437204462170e+002dB,-8.99999999751573e+001°)	(1.20015043276225e+002dB,8.99999987515226e+001°)
7.90000000000000e+001	(1.44322109782284e+002dB,-8.99999999748212e+001°)	(1.20130129858777e+002dB,8.99999987667055e+001°)
8.00000000000000e+001	(1.44208347111813e+002dB,-8.99999999744845e+001°)	(1.20243884328735e+002dB,8.99999987815002e+001°)
8.10000000000000e+001	(1.44095881742280e+002dB,-8.99999999741470e+001°)	(1.20356341394579e+002dB,8.99999987959208e+001°)
8.20000000000000e+001	(1.43984680236393e+002dB,-8.99999999738088e+001°)	(1.20467534493653e+002dB,8.99999988099812e+001°)
8.30000000000000e+001	(1.43874710366132e+002dB,-8.99999999734700e+001°)	(1.20577495853906e+002dB,8.99999988236943e+001°)
8.40000000000000e+001	(1.43765941054980e+002dB,-8.99999999731303e+001°)	(1.20686256551927e+002dB,8.99999988370724e+001°)
8.50000000000000e+001	(1.43658342323024e+002dB,-8.99999999727899e+001°)	(1.20793846567557e+002dB,8.99999988501274e+001°)
8.60000000000000e+001	(1.43551885235812e+002dB,-8.99999999724488e+001°)	(1.20900294835298e+002dB,8.99999988628704e+001°)
8.70000000000000e+001	(1.43446541855718e+002dB,-8.99999999721069e+001°)	(1.21005629292762e+002dB,8.99999988753123e+001°)
8.80000000000000e+001	(1.43342285196359e+002dB,-8.99999999717642e+001°)	(1.21109876926339e+002dB,8.99999988874631e+001°)
8.90000000000000e+001	(1.43239089179446e+002dB,-8.99999999714207e+001°)	(1.21213063814301e+002dB,8.99999988993328e+001°)
9.00000000000000e+001	(1.43136928594143e+002dB,-8.99999999710764e+001°)	(1.21315215167484e+002dB,8.99999989109306e+001°)
9.10000000000000e+001	(1.43035779058618e+002dB,-8.99999999707314e+001°)	(1.21416355367734e+002dB,8.99999989222655e+001°)
9.20000000000000e+001	(1.42935616983669e+002dB,-8.99999999703855e+001°)	(1.21516508004245e+002dB,8.99999989333460e+001°)
9.30000000000000e+001	(1.42836419538343e+002dB,-8.99999999700387e+001°)	(1.21615695907941e+002dB,8.99999989441803e+001°)
9.40000000000000e+001	(1.42738164617507e+002dB,-8.99999999696911e+001°)	(1.21713941184014e+002dB,8.99999989547761e+001°)
9.50000000000000e+001	(1.42640830810848e+002dB,-8.99999999693427e+001°)	(1.21811265242745e+002dB,8.99999989651410e+001°)
9.60000000000000e+001	(1.42544397373805e+002dB,-8.99999999689934e+001°)	(1.21907688828707e+002dB,8.99999989752822e+001°)
9.70000000000000e+001	(1.42448844199773e+002dB,-8.99999999686432e+001°)	(1.22003232048467e+002dB,8.99999989852065e+001°)
9.80000000000000e+001	(1.42354151793963e+002dB,-8.99999999682921e+001°)	(1.22097914396855e+002dB,8.99999989949206e+001°)
9.90000000000000e+001	(1.42260301248324e+002dB,-8.99999999679401e+001°)	(1.22191754781907e+002dB,8.99999990044307e+001°)
1.00000000000000e+002	(1.42167274217922e+002dB,-8.99999999675872e+001°)	(1.22284771548556e+002dB,8.99999990137430e+001°)
1.01000000000000e+002	(1.42075052898414e+002dB,-8.99999999672334e+001°)	(1.22376982501146e+002dB,8.99999990228633e+001°)
1.02000000000000e+002	(1.41983620004647e+002dB,-8.99999999668787e+001°)	(1.22468404924831e+002dB,8.99999990317972e+001°)
1.03000000000000e+002	(1.41892958750287e+002dB,-8.99999999665230e+001°)	(1.22559055605941e+002dB,8.99999990405501e+001°)
