Freq.	-V(n001)/I(I1)
1.00000000000000e+000	2.21651776998658e-002,7.71845655453838e+001
2.00000000000000e+000	8.86607004156340e-002,1.54369101739330e+002
3.00000000000000e+000	1.99486536376742e-001,2.31553579230416e+002
4.00000000000000e+000	3.54642633066158e-001,3.08737968667253e+002
5.00000000000000e+000	5.54128916658208e-001,3.85922240698498e+002
6.00000000000000e+000	7.97945292273924e-001,4.63106365972874e+002
7.00000000000000e+000	1.08609164406310e+000,5.40290315139180e+002
8.00000000000000e+000	1.41856783506417e+000,6.17474058846315e+002
9.00000000000000e+000	1.79537370719298e+000,6.94657567743288e+002
1.00000000000000e+001	2.21650908141158e+000,7.71840812479234e+002
1.10000000000000e+001	2.68197375748856e+000,8.49023763703433e+002
1.20000000000000e+001	3.19176751420978e+000,9.26206392065324e+002
1.30000000000000e+001	3.74589010926579e+000,1.00338866821452e+003
1.40000000000000e+001	4.34434127911660e+000,1.08057056280083e+003
1.50000000000000e+001	4.98712073943011e+000,1.15775204647427e+003
1.60000000000000e+001	5.67422818456004e+000,1.23493308988507e+003
1.70000000000000e+001	6.40566328801335e+000,1.31211366368371e+003
1.80000000000000e+001	7.18142570197127e+000,1.38929373852092e+003
1.90000000000000e+001	8.00151505789189e+000,1.46647328504770e+003
2.00000000000000e+001	8.86593096570087e+000,1.54365227391533e+003
2.10000000000000e+001	9.77467301468358e+000,1.62083067577542e+003
2.20000000000000e+001	1.07277407727767e+001,1.69800846127987e+003
2.30000000000000e+001	1.17251337869356e+001,1.77518560108093e+003
2.40000000000000e+001	1.27668515831882e+001,1.85236206583120e+003
2.50000000000000e+001	1.38528936662308e+001,1.92953782618363e+003
2.60000000000000e+001	1.49832595199216e+001,2.00671285279157e+003
2.70000000000000e+001	1.61579486068731e+001,2.08388711630877e+003
2.80000000000000e+001	1.73769603687978e+001,2.16106058738938e+003
2.90000000000000e+001	1.86402942261941e+001,2.23823323668800e+003
3.00000000000000e+001	1.99479495785112e+001,2.31540503485966e+003
3.10000000000000e+001	2.12999258042402e+001,2.39257595255985e+003
3.20000000000000e+001	2.26962222606981e+001,2.46974596044456e+003
3.30000000000000e+001	2.41368382842154e+001,2.54691502917026e+003
3.40000000000000e+001	2.56217731899715e+001,2.62408312939393e+003
3.50000000000000e+001	2.71510262721702e+001,2.70125023177306e+003
3.60000000000000e+001	2.87245968038543e+001,2.77841630696572e+003
3.70000000000000e+001	3.03424840371030e+001,2.85558132563051e+003
3.80000000000000e+001	3.20046872028834e+001,2.93274525842661e+003
3.90000000000000e+001	3.37112055109730e+001,3.00990807601379e+003
4.00000000000000e+001	3.54620381503906e+001,3.08706974905243e+003
4.10000000000000e+001	3.72571842888180e+001,3.16423024820352e+003
4.20000000000000e+001	3.90966430729642e+001,3.24138954412871e+003
4.30000000000000e+001	4.09804136284756e+001,3.31854760749028e+003
4.40000000000000e+001	4.29084950599768e+001,3.39570440895119e+003
4.50000000000000e+001	4.48808864509967e+001,3.47285991917508e+003
