% Model:              AC_Radiation.mph
% Version:            COMSOL 6.0.0.405
% Date:               Aug 1 2022, 17:04
% Dimension:          1
% Nodes:              1000
% Expressions:        1
% Description:        Global
% freq (Hz)               Re(Z<sub>ac</sub>), Im(Z<sub>ac</sub>)
10                        -11.403899454240875
20                        -30.959485649324012
30                        -44.275357541053786
40                        -45.262018899153254
50                        -33.052527607071404
60                        -9.202322412728476
70                        24.102219119068703
80                        64.89442631455539
90                        111.69434565216092
100                       163.50150448524994
110                       219.6946098620098
120                       279.9212472289455
130                       344.0068080270797
140                       411.8878701943565
150                       483.5666521045343
160                       559.0812502600205
170                       638.4868850953635
180                       721.8445016658379
190                       809.2141405114583
200                       900.6513286386606
210                       996.2053381952145
220                       1095.9185688578275
230                       1199.82658145087
240                       1307.9584874468655
250                       1420.3375131029914
260                       1536.9816296605195
270                       1657.9041867763385
280                       1783.1145148456112
290                       1912.6184792950655
300                       2046.4189803135012
310                       2184.516397544507
320                       2326.9089825055303
330                       2473.5932031261477
340                       2624.564045399667
350                       2779.815277161701
360                       2939.339678731466
370                       3103.1292447065734
380                       3271.175360700194
390                       3443.468958316606
400                       3620.0006511869515
410                       3800.760854457336
420                       3985.739889744606
430                       4174.928077273535
440                       4368.315816581397
450                       4565.8936569774705
460                       4767.652358747505
470                       4973.58294590523
480                       5183.676751161865
490                       5397.925453697252
500                       5616.321110194258
510                       5838.856179541586
520                       6065.523541547745
530                       6296.316509968478
540                       6531.2288400869575
550                       6770.254731114575
560                       7013.388823594819
570                       7260.626192020485
580                       7511.962332857893
590                       7767.393148150925
600                       8026.914924899817
610                       8290.524310377064
620                       8558.218283586686
630                       8829.994123025384
640                       9105.849370974915
650                       9385.781794502647
660                       9669.789343350745
670                       9957.870104996038
680                       10250.022257035698
690                       10546.24401714925
700                       10846.533590899457
710                       11150.889117564499
720                       11459.308614306225
730                       11771.789918890274
740                       12088.330631253591
750                       12408.928054179265
760                       12733.579133344228
770                       13062.280397045935
780                       13395.027895882084
790                       13731.817142651375
800                       14072.643052821713
810                       14417.49988579129
820                       14766.381187307288
830                       15119.279733268395
840                       15476.187475254294
850                       15837.095488042834
860                       16201.993919437404
870                       16570.871942614318
880                       16943.717711349407
890                       17320.51831834396
900                       17701.259756898282
910                       18085.92688621712
920                       18474.50340055558
930                       18866.97180244119
940                       19263.313380164764
950                       19663.508189767508
960                       20067.535041653275
970                       20475.37149200352
980                       20886.993839164115
990                       21302.377125055147
1000                      21721.495141743464
1010                      22144.32044324676
1020                      22570.824362578343
1030                      23000.977034112326
1040                      23434.74742119286
1050                      23872.103349025667
1060                      24313.0115427359
1070                      24757.437670540676
1080                      25205.346391914263
1090                      25656.70141057962
1100                      26111.465532209146
1110                      26569.600726577595
1120                      27031.068193992873
1130                      27495.828435721134
1140                      27963.84132815973
1150                      28435.06620043767
1160                      28909.461915135806
1170                      29386.986951784016
1180                      29867.59949275939
1190                      30351.257511245174
1200                      30837.918860789843
1210                      31327.54136611899
1220                      31820.082914756204
1230                      32315.501549020308
1240                      32813.75555794418
1250                      33314.80356872134
1260                      33818.60463718546
1270                      34325.11833690574
1280                      34834.30484646338
1290                      35346.125034450815
1300                      35860.540541784394
1310                      36377.51386089736
1320                      36897.00841144756
1330                      37418.98861209624
1340                      37943.419948029004
1350                      38470.26903385469
1360                      38999.50367154353
1370                      39531.09290310856
1380                      40065.00705775785
1390                      40601.2177932098
1400                      41139.69813104787
1410                      41680.422485777366
1420                      42223.366687554575
1430                      42768.50799833748
1440                      43315.825121417896
1450                      43865.298204244624
1460                      44416.90883447528
1470                      44970.64002923934
1480                      45526.47621770629
1490                      46084.40321687796
1500                      46644.40820080362
1510                      47206.4796632688
1520                      47770.607374124855
1530                      48336.78232938994
1540                      48904.996695347654
1550                      49475.24374688579
1560                      50047.51780024572
1570                      50621.81414053569
1580                      51198.128944240416
1590                      51776.459197095326
1600                      52356.80260757001
1610                      52939.157516406834
1620                      53523.52280253621
1630                      54109.897785716654
1640                      54698.28212636003
1650                      55288.67572287901
1660                      55881.078607035604
1670                      56475.49083765135
1680                      57071.91239316051
1690                      57670.34306337327
1700                      58270.7823409983
1710                      58873.22931321435
1720                      59477.682553868646
1730                      60084.14001667681
1740                      60692.598929810076
1750                      61303.05569246316
1760                      61915.505773616795
1770                      62529.943613596726
1780                      63146.36252876668
1790                      63764.754619725885
1800                      64385.11068350782
1810                      65007.420129986924
1820                      65631.67090313196
1830                      66257.84940716253
1840                      66885.94043813858
1850                      67515.92712126132
1860                      68147.79085415223
1870                      68781.51125643286
1880                      69417.06612586771
1890                      70054.43140125112
1900                      70693.58113234097
1910                      71334.4874570155
1920                      71977.12058571036
1930                      72621.44879347576
1940                      73267.43841958515
1950                      73915.05387486622
1960                      74564.25765688073
