% Model:              ME_Diaphragm_1DOF_nonlinear_COMSOL.mph
% Version:            COMSOL 6.0.0.405
% Date:               Oct 20 2022, 21:28
% Dimension:          1
% Nodes:              27
% Expressions:        1
% Description:        Point graph
% force (N)               Displacement field, Z component
-1.022777412933957        -130
-0.9441022273236535       -120
-0.8654270417133492       -110
-0.7867518561030448       -100
-0.7080766704927399       -90
-0.6294014848824353       -80
-0.5507262992721311       -70
-0.4720511136618267       -60
-0.3933759280515224       -50
-0.31470074244121765      -40
-0.23602555683091336      -30
-0.15735037122060883      -20
-0.07867518561030441      -10
0                         0
0.07867518561030441       10
0.15735037122060883       20
0.23602555683091336       30
0.31470074244121765       40
0.3933759280515224        50
0.4720511136618267        60
0.5507262992721311        70
0.6294014848824353        80
0.7080766704927399        90
0.7867518561030448        100
0.8654270417133492        110
0.9441022273236535        120
1.022777412933957         130
