% Model:              ME_Diaphragm_1DOF_nonlinear_COMSOL.mph
% Version:            COMSOL 6.0.0.405
% Date:               Oct 20 2022, 21:28
% Dimension:          1
% Nodes:              46
% Expressions:        1
% Description:        Point graph
% force (N)               Displacement field, Z component
-0.911981004532286        -150
-0.8721010967006377       -140
-0.8304417735288411       -130
-0.7868032787030913       -120
-0.7409184274428968       -110
-0.6924696782337931       -100
-0.6410805086696278       -90
-0.5863095837051687       -80
-0.5276540989786713       -70
-0.46457713248536897      -60
-0.39658874681396805      -50
-0.3233333222302879       -40
-0.24527112399220174      -30
-0.1635213134497963       -20
-0.0807403942727417       -10
-1.0222718738405421E-14   0
0.07591076181337052       10
0.14555232492114764       20
0.2086982676289589        30
0.2657311309504786        40
0.3174801919200197        50
0.36466103644600534       60
0.4079642124730518        70
0.4479668489647988        80
0.4851489832839007        90
0.5199039475134074        100
0.5525547060752224        110
0.5833674350223362        120
0.6125629089516438        130
0.6403255547049841        140
0.6668105871411457        150
0.692149605034359         160
0.716454985497349         170
0.7398233487102092        180
0.7623383050259882        190
0.784072647132658         200
0.8050901113089038        210
0.8254468022668907        220
0.8451923537360799        230
0.8643708801157243        240
0.8830217618455362        250
0.9011802975658755        260
0.9188782488708991        270
0.9361442979153854        280
0.9530044338844119        290
0.9694822810545743        300
