Freq.	V(rho_over_pref)*I(R4)*freq/sqrt(2)
1.00000000000000e+000	(-4.91729993672867e+001dB,9.00000086891117e+001°)
2.00000000000000e+000	(-3.71311541872259e+001dB,9.00000040772547e+001°)
3.00000000000000e+000	(-3.00864281860119e+001dB,9.00000023602638e+001°)
4.00000000000000e+000	(-2.50873727224684e+001dB,9.00000012984833e+001°)
5.00000000000000e+000	(-2.12090357380425e+001dB,9.00000004220638e+001°)
6.00000000000000e+000	(-1.80394188325145e+001dB,8.99999995560439e+001°)
7.00000000000000e+000	(-1.53587494195276e+001dB,8.99999986098013e+001°)
8.00000000000000e+000	(-1.30358427538507e+001dB,8.99999975242730e+001°)
9.00000000000000e+000	(-1.09860818858095e+001dB,8.99999962544098e+001°)
1.00000000000000e+001	(-9.15169085472289e+000dB,8.99999947621623e+001°)
1.10000000000000e+001	(-7.49146031603948e+000dB,8.99999930132975e+001°)
1.20000000000000e+001	(-5.97496270890632e+000dB,8.99999909757879e+001°)
1.30000000000000e+001	(-4.57909090185115e+000dB,8.99999886189286e+001°)
1.40000000000000e+001	(-3.28588324872928e+000dB,8.99999859128787e+001°)
1.50000000000000e+001	(-2.08110082670463e+000dB,8.99999828283444e+001°)
1.60000000000000e+001	(-9.53264789271182e-001dB,8.99999793363913e+001°)
1.70000000000000e+001	(1.07013928261178e-001dB,8.99999754083263e+001°)
1.80000000000000e+001	(1.10751302085670e+000dB,8.99999710156150e+001°)
1.90000000000000e+001	(2.05474770429762e+000dB,8.99999661298169e+001°)
2.00000000000000e+001	(2.95423001031017e+000dB,8.99999607225615e+001°)
2.10000000000000e+001	(3.81066475251612e+000dB,8.99999547655002e+001°)
2.20000000000000e+001	(4.62809986270920e+000dB,8.99999482302789e+001°)
2.30000000000000e+001	(5.41004328170870e+000dB,8.99999410885472e+001°)
2.40000000000000e+001	(6.15955495450751e+000dB,8.99999333119181e+001°)
2.50000000000000e+001	(6.87932003341640e+000dB,8.99999248719678e+001°)
2.60000000000000e+001	(7.57170771539569e+000dB,8.99999157402208e+001°)
2.70000000000000e+001	(8.23881896928106e+000dB,8.99999058881484e+001°)
2.80000000000000e+001	(8.88252557905025e+000dB,8.99998952871535e+001°)
2.90000000000000e+001	(9.50450233279149e+000dB,8.99998839085652e+001°)
3.00000000000000e+001	(1.01062537525393e+001dB,8.99998717236383e+001°)
3.10000000000000e+001	(1.06891364396408e+001dB,8.99998587035416e+001°)
3.20000000000000e+001	(1.12543778713520e+001dB,8.99998448193554e+001°)
3.30000000000000e+001	(1.18030923042073e+001dB,8.99998300420629e+001°)
3.40000000000000e+001	(1.23362943026727e+001dB,8.99998143425513e+001°)
3.50000000000000e+001	(1.28549103062809e+001dB,8.99997976915961e+001°)
3.60000000000000e+001	(1.33597885669580e+001dB,8.99997800598742e+001°)
