Displacement [mm] - FD curve	Force [N] - FD curve	
0.00275	0	
0.0055	0	
0.00825	0	
0.011	0	
0.01375	0	
0.0165	0	
0.01925	0	
0.022	0	
0.02475	0	
0.0275	0	
0.03025	0	
0.033	0	
0.03575	0	
0.0385	0	
0.04125	0	
0.044	0	
0.04675	0	
0.0495	0	
0.05225	0	
0.055	0	
0.05775	0	
0.0605	0	
0.06325	0	
0.066	0	
0.06875	0	
0.0715	0	
0.07425	0	
0.077	0	
0.07975	0	
0.0825	0	
0.08525	0	
0.088	0	
0.09075	0	
0.0935	0	
0.09625	0	
0.099	0	
0.10175	0	
0.1045	0	
0.10725	0	
0.11	0	
0.11275	0	
0.1155	0	
0.11825	0	
0.121	0	
0.12375	0	
0.1265	0	
0.12925	0	
0.132	0	
0.13475	0	
0.1375	0	
0.14025	0	
0.143	0	
0.14575	0	
0.1485	0	
0.15125	0	
0.154	0	
0.15675	0	
0.1595	0	
0.16225	0	
0.165	0	
0.16775	0	
0.1705	0	
0.17325	0	
0.176	0	
0.17875	0	
0.1815	0	
0.18425	0	
0.187	0	
0.18975	0	
0.1925	0	
0.19525	0	
0.198	0	
0.20075	0	
0.2035	0	
0.20625	0	
0.209	0	
0.21175	0	
0.2145	0	
0.21725	0	
0.22	0	
0.22275	0	
0.2255	0	
0.22825	0	
0.231	0	
0.23375	0	
0.2365	0	
0.23925	0	
0.242	0	
0.24475	0	
0.2475	0	
0.25025	0	
0.253	0	
0.25575	0	
0.2585	0	
0.26125	0	
0.264	0	
0.26675	0	
0.2695	0	
0.27225	0	
0.275	0	
0.27775	0	
0.2805	0	
0.28325	0	
0.286	0	
0.28875	0	
0.2915	0	
0.29425	0	
0.297	0	
0.29975	0	
0.3025	0	
0.30525	0	
0.308	0	
0.31075	0	
0.3135	0	
0.31625	0	
0.319	0	
0.32175	0	
0.3245	0	
0.32725	0	
0.33	0	
0.33275	0	
0.3355	0	
0.33825	0	
0.341	0	
0.34375	0	
0.3465	0	
0.34925	0	
0.352	0	
0.35475	0	
0.3575	0	
0.36025	0	
0.363	0	
0.36575	0	
0.3685	0	
0.37125	0	
0.374	0	
0.37675	0	
0.3795	0	
0.38225	0	
0.385	0	
0.38775	0	
0.3905	0	
0.39325	0	
0.396	0	
0.39875	0	
0.4015	0	
0.40425	0	
0.407	0	
0.40975	0	
0.4125	0	
0.41525	0	
0.418	0	
0.42075	0	
0.4235	0	
0.42625	0	
0.429	0	
0.43175	0	
0.4345	0	
0.43725	0	
0.44	0	
0.44275	0	
0.4455	0	
0.44825	0	
0.451	0	
0.45375	0	
0.4565	0	
0.45925	0	
0.462	0	
0.46475	0	
0.4675	0	
0.47025	0	
0.473	0	
0.47575	0	
0.4785	0	
0.48125	0	
0.484	0	
0.48675	0	
0.4895	0	
0.49225	0	
0.495	0	
0.49775	0	
0.5005	0	
0.50325	0	
0.506	0	
0.50875	0	
0.5115	0	
0.51425	0	
0.517	0.000101937	
0.51975	0	
0.5225	0	
0.52525	0	
0.528	0	
0.53075	0	
0.5335	0	
0.53625	0	
0.539	0	
0.54175	0	
0.5445	0	
0.54725	0	
0.55	0	
0.55275	0	
0.5555	0	
0.55825	0	
0.561	0	
0.56375	0	
0.5665	0	
0.56925	0	
0.572	0	
0.57475	0	
0.5775	0	
0.58025	0	
0.583	0	
0.58575	0	
0.5885	0	
0.59125	0	
0.594	0	
0.59675	0	
0.5995	0	
0.60225	0	
0.605	0	
0.60775	0	
0.6105	0	
0.61325	0	
0.616	0	
0.61875	0.000101937	
0.6215	0	
0.62425	0	
0.627	0	
0.62975	0	
0.6325	0	
0.63525	0	
0.638	0	
0.64075	0	
