Displacement [mm] - FD curve	Force [N] - FD curve	
0.00275	0.533075	
0.0055	0.533075	
0.00825	0.533075	
0.011	0.533075	
0.01375	0.533075	
0.0165	0.533075	
0.01925	0.533075	
0.022	0.533075	
0.02475	0.533075	
0.0275	0.533075	
0.03025	0.533075	
0.033	0.533075	
0.03575	0.533075	
0.0385	0.533075	
0.04125	0.533075	
0.044	0.533075	
0.04675	0.533075	
0.0495	0.533075	
0.05225	0.533075	
0.055	0.533075	
0.05775	0.533075	
0.0605	0.533075	
0.06325	0.533075	
0.066	0.533075	
0.06875	0.533075	
0.0715	0.533075	
0.07425	0.533075	
0.077	0.533075	
0.07975	0.533075	
0.0825	0.533075	
0.08525	0.533075	
0.088	0.533075	
0.09075	0.533075	
0.0935	0.533075	
0.09625	0.533075	
0.099	0.533075	
0.10175	0.533075	
0.1045	0.533075	
0.10725	0.533075	
0.11	0.533075	
0.11275	0.533075	
0.1155	0.533075	
0.11825	0.533075	
0.121	0.533075	
0.12375	0.533075	
0.1265	0.533075	
0.12925	0.533075	
0.132	0.533075	
0.13475	0.533075	
0.1375	0.533075	
0.14025	0.533075	
0.143	0.533075	
0.14575	0.533075	
0.1485	0.533075	
0.15125	0.533075	
0.154	0.533075	
0.15675	0.533075	
0.1595	0.533075	
0.16225	0.533075	
0.165	0.533075	
0.16775	0.533075	
0.1705	0.533075	
0.17325	0.533075	
0.176	0.533075	
0.17875	0.533075	
0.1815	0.533075	
0.18425	0.533075	
0.187	0.533075	
0.18975	0.533075	
0.1925	0.533075	
0.19525	0.533075	
0.198	0.533075	
0.20075	0.533075	
0.2035	0.533075	
0.20625	0.533075	
0.209	0.533075	
0.21175	0.533075	
0.2145	0.533075	
0.21725	0.533075	
0.22	0.533075	
0.22275	0.533075	
0.2255	0.533075	
0.22825	0.533075	
0.231	0.533075	
0.23375	0.533075	
0.2365	0.533075	
0.23925	0.533075	
0.242	0.533075	
0.24475	0.533075	
0.2475	0.533075	
0.25025	0.533075	
0.253	0.533075	
0.25575	0.533075	
0.2585	0.533075	
0.26125	0.533075	
0.264	0.533075	
0.26675	0.533075	
