Freq.	-V(n001)/I(V1)	-V(n003)/I(V2)
1.00000000000000e+002	(1.53100577150407e+002dB,-9.00000000000000e+001°)	(9.16852194981330e+001dB,8.99999985051441e+001°)
1.00577306300174e+002	(1.53050577150408e+002dB,-9.00000000000000e+001°)	(9.17353049529705e+001dB,8.99999985137099e+001°)
1.01157945425990e+002	(1.53000577150408e+002dB,-9.00000000000000e+001°)	(9.17853913981837e+001dB,8.99999985222263e+001°)
1.01741936618061e+002	(1.52950577150407e+002dB,-9.00000000000000e+001°)	(9.18354788452606e+001dB,8.99999985306939e+001°)
1.02329299228075e+002	(1.52900577150407e+002dB,-9.00000000000000e+001°)	(9.18855673058227e+001dB,8.99999985391127e+001°)
1.02920052719443e+002	(1.52850577150408e+002dB,-9.00000000000000e+001°)	(9.19356567916265e+001dB,8.99999985474831e+001°)
1.03514216667934e+002	(1.52800577150407e+002dB,-9.00000000000000e+001°)	(9.19857473145651e+001dB,8.99999985558054e+001°)
1.04111810762334e+002	(1.52750577150407e+002dB,-9.00000000000000e+001°)	(9.20358388866698e+001dB,8.99999985640798e+001°)
1.04712854805090e+002	(1.52700577150409e+002dB,-9.00000000000000e+001°)	(9.20859315201117e+001dB,8.99999985723067e+001°)
1.05317368712972e+002	(1.52650577150405e+002dB,-9.00000000000000e+001°)	(9.21360252272035e+001dB,8.99999985804862e+001°)
1.05925372517729e+002	(1.52600577150408e+002dB,-9.00000000000000e+001°)	(9.21861200204008e+001dB,8.99999985886187e+001°)
1.06536886366756e+002	(1.52550577150407e+002dB,-9.00000000000000e+001°)	(9.22362159123043e+001dB,8.99999985967045e+001°)
1.07151930523761e+002	(1.52500577150407e+002dB,-9.00000000000000e+001°)	(9.22863129156607e+001dB,8.99999986047437e+001°)
1.07770525369432e+002	(1.52450577150409e+002dB,-9.00000000000000e+001°)	(9.23364110433653e+001dB,8.99999986127367e+001°)
1.08392691402120e+002	(1.52400577150407e+002dB,-9.00000000000000e+001°)	(9.23865103084631e+001dB,8.99999986206837e+001°)
1.09018449238513e+002	(1.52350577150407e+002dB,-9.00000000000000e+001°)	(9.24366107241508e+001dB,8.99999986285850e+001°)
1.09647819614319e+002	(1.52300577150405e+002dB,-9.00000000000000e+001°)	(9.24867123037785e+001dB,8.99999986364409e+001°)
1.10280823384955e+002	(1.52250577150408e+002dB,-9.00000000000000e+001°)	(9.25368150608515e+001dB,8.99999986442516e+001°)
1.10917481526240e+002	(1.52200577150408e+002dB,-9.00000000000000e+001°)	(9.25869190090322e+001dB,8.99999986520174e+001°)
1.11557815135085e+002	(1.52150577150407e+002dB,-9.00000000000000e+001°)	(9.26370241621418e+001dB,8.99999986597384e+001°)
1.12201845430196e+002	(1.52100577150407e+002dB,-9.00000000000000e+001°)	(9.26871305341623e+001dB,8.99999986674151e+001°)
1.12849593752776e+002	(1.52050577150407e+002dB,-9.00000000000000e+001°)	(9.27372381392381e+001dB,8.99999986750477e+001°)
1.13501081567232e+002	(1.52000577150407e+002dB,-9.00000000000000e+001°)	(9.27873469916783e+001dB,8.99999986826363e+001°)
1.14156330461885e+002	(1.51950577150408e+002dB,-9.00000000000000e+001°)	(9.28374571059583e+001dB,8.99999986901812e+001°)
1.14815362149688e+002	(1.51900577150407e+002dB,-9.00000000000000e+001°)	(9.28875684967219e+001dB,8.99999986976828e+001°)
1.15478198468946e+002	(1.51850577150407e+002dB,-9.00000000000000e+001°)	(9.29376811787832e+001dB,8.99999987051412e+001°)
1.16144861384034e+002	(1.51800577150407e+002dB,-9.00000000000000e+001°)	(9.29877951671286e+001dB,8.99999987125567e+001°)
1.16815372986133e+002	(1.51750577150408e+002dB,-9.00000000000000e+001°)	(9.30379104769188e+001dB,8.99999987199295e+001°)
1.17489755493953e+002	(1.51700577150407e+002dB,-9.00000000000000e+001°)	(9.30880271234910e+001dB,8.99999987272600e+001°)
1.18168031254479e+002	(1.51650577150409e+002dB,-9.00000000000000e+001°)	(9.31381451223607e+001dB,8.99999987345482e+001°)
1.18850222743702e+002	(1.51600577150407e+002dB,-9.00000000000000e+001°)	(9.31882644892238e+001dB,8.99999987417945e+001°)
1.19536352567372e+002	(1.51550577150407e+002dB,-9.00000000000000e+001°)	(9.32383852399592e+001dB,8.99999987489991e+001°)
1.20226443461742e+002	(1.51500577150408e+002dB,-9.00000000000000e+001°)	(9.32885073906301e+001dB,8.99999987561623e+001°)
1.20920518294321e+002	(1.51450577150407e+002dB,-9.00000000000000e+001°)	(9.33386309574870e+001dB,8.99999987632842e+001°)
1.21618600064637e+002	(1.51400577150408e+002dB,-9.00000000000000e+001°)	(9.33887559569691e+001dB,8.99999987703652e+001°)
1.22320711904993e+002	(1.51350577150407e+002dB,-9.00000000000000e+001°)	(9.34388824057074e+001dB,8.99999987774054e+001°)
1.23026877081238e+002	(1.51300577150407e+002dB,-9.00000000000000e+001°)	(9.34890103205259e+001dB,8.99999987844051e+001°)
1.23737118993536e+002	(1.51250577150407e+002dB,-9.00000000000000e+001°)	(9.35391397184449e+001dB,8.99999987913645e+001°)
1.24451461177139e+002	(1.51200577150407e+002dB,-9.00000000000000e+001°)	(9.35892706166825e+001dB,8.99999987982839e+001°)
1.25169927303173e+002	(1.51150577150409e+002dB,-9.00000000000000e+001°)	(9.36394030326574e+001dB,8.99999988051634e+001°)
1.25892541179417e+002	(1.51100577150407e+002dB,-9.00000000000000e+001°)	(9.36895369839909e+001dB,8.99999988120034e+001°)
1.26619326751095e+002	(1.51050577150407e+002dB,-9.00000000000000e+001°)	(9.37396724885096e+001dB,8.99999988188040e+001°)
1.27350308101666e+002	(1.51000577150407e+002dB,-9.00000000000000e+001°)	(9.37898095642474e+001dB,8.99999988255654e+001°)
1.28085509453628e+002	(1.50950577150407e+002dB,-9.00000000000000e+001°)	(9.38399482294485e+001dB,8.99999988322879e+001°)
1.28824955169314e+002	(1.50900577150407e+002dB,-9.00000000000000e+001°)	(9.38900885025693e+001dB,8.99999988389718e+001°)
1.29568669751702e+002	(1.50850577150407e+002dB,-9.00000000000000e+001°)	(9.39402304022812e+001dB,8.99999988456171e+001°)
1.30316677845230e+002	(1.50800577150407e+002dB,-9.00000000000000e+001°)	(9.39903739474730e+001dB,8.99999988522242e+001°)
1.31069004236608e+002	(1.50750577150407e+002dB,-9.00000000000000e+001°)	(9.40405191572533e+001dB,8.99999988587933e+001°)
