% Model:              AC -220722 - Horn.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 22 2022, 22:20
% Dimension:          1
% Nodes:              481
% Expressions:        1
% Description:        Global
% freq (Hz)               FEM
200                       1004189.8068697321
210                       1057470.193797602
220                       1111227.9118476282
230                       1165492.7688992394
240                       1220295.709012359
250                       1275668.9019664784
260                       1331645.8392809837
270                       1388261.4373740682
280                       1445552.1485854548
290                       1503556.0808679266
300                       1562313.1270421408
310                       1621865.1046091581
320                       1682255.9072293204
330                       1743531.6691092362
340                       1805740.9436789653
350                       1868934.8981174354
360                       1933167.525469764
370                       1998495.8763191858
380                       2064980.3122321393
390                       2132684.783471313
400                       2201677.1338136643
410                       2272029.4356805314
420                       2343818.359228075
430                       2417125.579557274
440                       2492038.226783465
450                       2568649.384396735
460                       2647058.6421329114
470                       2727372.710515335
480                       2809706.1053058696
490                       2894181.9114003545
500                       2980932.637196961
510                       3070101.172270841
520                       3161841.8632834153
530                       3256321.7255932996
540                       3353721.8110323735
550                       3454238.755914951
560                       3558086.5376816075
570                       3665498.473817023
580                       3776729.5030022315
590                       3892058.7962053637
600                       4011792.7548249667
610                       4136268.4646157464
620                       4265857.68840269
630                       4400971.4983489355
640                       4542065.670677544
650                       4689646.99346789
660                       4844280.673159753
670                       5006599.069845966
680                       5177312.048129698
690                       5357219.303374636
700                       5547225.117749725
710                       5748356.123965167
720                       5961782.81727154
730                       6188845.772205166
740                       6431087.8101445595
750                       6690293.755686773
760                       6968539.95627608
770                       7268256.481942504
780                       7592305.962344043
790                       7944084.495570228
800                       8327652.19118521
810                       8747904.023686796
820                       9210796.306890486
830                       9723651.126816077
840                       1.0295571947248312E7
850                       1.0938020822624637E7
860                       1.1665635613872025E7
870                       1.2497412301619023E7
880                       1.3458458002391737E7
890                       1.4582664199261477E7
900                       1.5916917779650165E7
910                       1.752799141131695E7
920                       1.9514338089444205E7
930                       2.202741019776117E7
940                       2.531287190003358E7
950                       2.9797349990399156E7
960                       3.62926799669406E7
970                       4.655743277933359E7
980                       6.5244921481035925E7
990                       1.1002460354373223E8
1000                      3.629289750272595E8
1010                      2.714534799725211E8
1020                      9.765860868443155E7
1030                      5.90875156848424E7
1040                      4.210619991940933E7
1050                      3.254170779756338E7
1060                      2.6399160630930312E7
1070                      2.2115870925728537E7
1080                      1.8954872846046254E7
1090                      1.6523170141211843E7
1100                      1.459202330189042E7
1110                      1.3019249769864632E7
1120                      1.1711817925894821E7
1130                      1.060629597842614E7
1140                      9657945.40585245
1150                      8834305.76569544
1160                      8111251.628451471
1170                      7470477.2850070195
1180                      6897840.392301348
1190                      6382240.777605132
1200                      5914842.979351772
1210                      5488525.549410669
1220                      5097483.526080399
1230                      4736936.571382462
1240                      4402911.390582408
1250                      4092077.2696938687
1260                      3801620.1882981453
1270                      3529145.3434939636
1280                      3272600.8700720565
1290                      3030217.5621215934
1300                      2800460.806574182
1310                      2581991.9307227493
1320                      2373636.8746112413
1330                      2174360.6121406294
1340                      1983246.120174887
1350                      1799476.9725553384
1360                      1622322.8433406313
1370                      1451127.3598838667
1380                      1285297.865209053
1390                      1124296.74021382
1400                      967634.0065552957
1410                      814860.985747865
1420                      665564.8327974338
1430                      519363.7964021481
1440                      375903.0843887466
1450                      234851.2343117679
1460                      95896.9060742001
1470                      41253.97299394365
1480                      176880.76922466903
1490                      311250.4597215295
1500                      444619.748295791
1510                      577237.0173712955
1520                      709344.148513236
1530                      841178.2407064517
1540                      972973.2528162645
1550                      1104961.5946637646
1560                      1237375.689794567
1570                      1370449.5322490784
1580                      1504420.259410402
1590                      1639529.763316354
1600                      1776026.3636927193
1610                      1914166.5673825315
1620                      2054216.9409504863
1630                      2196456.1259712693
1640                      2341177.0301585663
1650                      2488689.2319974764
1660                      2639321.6422597887
1670                      2793425.4728451376
1680                      2951377.5721324277
1690                      3113584.1969020404
1700                      3280485.3042608034
1710                      3452559.4637199943
1720                      3630329.510305931
1730                      3814369.0855867337
1740                      4005310.246111666
1750                      4203852.360011089
1760                      4410772.5648756195
1770                      4626938.12700099
1780                      4853321.1282592695
1790                      5091016.01855447
1800                      5341260.717662009
1810                      5605462.1423410475
1820                      5885227.289622455
1830                      6182401.349108628
1840                      6499114.7799273245
1850                      6837841.921277562
1860                      7201474.581879772
1870                      7593415.281462022
1880                      8017696.56054167
1890                      8479135.28520034
1900                      8983534.545986291
1910                      9537951.214360883
1920                      1.0151055503491798E7
1930                      1.083362169678567E7
1940                      1.1599209492511738E7
1950                      1.2465128336203273E7
1960                      1.3453832074123912E7
1970                      1.4594985969333481E7
1980                      1.5928617304282973E7
1990                      1.7510075750111375E7
2000                      1.941814474911077E7
2010                      2.176891569347063E7
2020                      2.474084308050061E7
2030                      2.8623124024232745E7
2040                      3.39173862721667E7
2050                      4.1576630839318104E7
2060                      5.366030268936564E7
2070                      7.559674740925176E7
2080                      1.2783847470001242E8
2090                      4.145868471310137E8
2100                      3.322809448945763E8
2110                      1.1835874403598449E8
2120                      7.187602907076041E7
2130                      5.152461150319307E7
2140                      4.0093097416057855E7
2150                      3.276403379614813E7
2160                      2.765977386919062E7
2170                      2.3896815474945284E7
2180                      2.100475424964967E7
2190                      1.871011003571909E7
2200                      1.6843040012584638E7
2210                      1.5292492510917338E7
2220                      1.3982793073523333E7
2230                      1.286059465183631E7
2240                      1.1887207390682422E7
2250                      1.1033887064426724E7
2260                      1.0278831131578375E7
2270                      9605201.491284644
2280                      8999786.606265811
2290                      8452074.11848639
2300                      7953594.162377571
2310                      7497445.464971168
2320                      7077947.503524548
2330                      6690381.25836419
2340                      6330793.303926483
2350                      5995845.887712909
2360                      5682700.873826353
2370                      5388928.9474822
2380                      5112437.8872367805
2390                      4851415.388010536
2400                      4604283.10057509
2410                      4369659.398413526
2420                      4146328.994476354
2430                      3933217.9778577974
2440                      3729373.171409956
2450                      3533944.9584643007
2460                      3346172.9131492916
2470                      3165373.710440488
2480                      2990930.900640657
2490                      2822286.2168382187
2500                      2658932.149121174
2510                      2500405.5703998804
2520                      2346282.238946749
2530                      2196172.034675107
2540                      2049714.8116195477
2550                      1906576.7694752032
2560                      1766447.2634470344
2570                      1629035.9849482565
2580                      1494070.4564447384
2590                      1361293.792511062
2600                      1230462.6863176005
2610                      1101345.5866078367
2620                      973721.03500685
2630                      847376.1373879629
2640                      722105.1461967817
2650                      597708.1331673446
2660                      473989.7339104085
2670                      350757.9473995162
2680                      227822.97458544112
2690                      104996.08115696772
2700                      17911.53002990101
2710                      141089.85118166657
2720                      264731.2209240368
2730                      389031.50972676516
2740                      514191.3551298519
2750                      640417.4636890847
2760                      767923.9981112739
2770                      896934.0701037546
2780                      1027681.3620194397
2790                      1160411.9035942026
2800                      1295386.0340333902
2810                      1432880.5845795954
2820                      1573191.3227001512
2830                      1716635.706384547
2840                      1863556.0061397348
2850                      2014322.8634318851
2860                      2169339.3682145798
2870                      2329045.7553855022
2880                      2493924.841533515
2890                      2664508.350315733
2900                      2841384.3088528407
2910                      3025205.7407299667
2920                      3216700.9363460345
2930                      3416685.6522743665
2940                      3626077.683090429
2950                      3845914.3688760055
2960                      4077373.7591178063
2970                      4321800.362589889
2980                      4580736.692490259
2990                      4855962.194158329
3000                      5149541.659216111
3010                      5463885.943665324
3020                      5801828.805643986
3030                      6166725.093037557
3040                      6562577.544269195
3050                      6994202.433302702
3060                      7467448.695246791
3070                      7989491.82973341
3080                      8569234.155917635
3090                      9217859.206504032
3100                      9949614.270868571
3110                      1.0782938700230386E7
3120                      1.1742130387876477E7
3130                      1.2859875777656535E7
3140                      1.4181214793117482E7
3150                      1.5769989288367512E7
3160                      1.7719801462751202E7
3170                      2.0173647714935344E7
3180                      2.336145866084286E7
3190                      2.767801264526438E7
3200                      3.386294368521615E7
3210                      4.34825307734297E7
3220                      6.053240207196035E7
3230                      9.913066912823957E7
3240                      2.70945410511745E8
3250                      3.73101246081012E8
3260                      1.1068381358070694E8
3270                      6.501105308992457E7
3280                      4.6016810092162244E7
3290                      3.559798104663134E7
3300                      2.9008985156650096E7
3310                      2.44604794164231E7
3320                      2.112757789290234E7
3330                      1.8577208022422723E7
3340                      1.6560165808457894E7
3350                      1.4922896345513752E7
3360                      1.3565619887052855E7
3370                      1.2420685077920267E7
3380                      1.1440599527996268E7
3390                      1.05910403442851E7
3400                      9846584.09978785
3410                      9187996.994595002
3420                      8600458.30529909
3430                      8072362.473573988
3440                      7594491.273014422
3450                      7159429.197371575
3460                      6761142.589737256
3470                      6394671.391335106
3480                      6055899.850206731
3490                      5741383.556454883
3500                      5448217.293364126
3510                      5173932.8901326405
3520                      4916419.416908242
3530                      4673860.218730312
3540                      4444682.78136602
3550                      4227518.4757194705
3560                      4021169.979360771
3570                      3824584.7168699335
3580                      3636833.05756653
3590                      3457090.3022902897
3600                      3284621.7095226995
3610                      3118769.9757164996
3620                      2958944.709696634
3630                      2804613.536702135
3640                      2655294.5414668065
3650                      2510549.817138681
3660                      2369979.9317268743
3670                      2233219.1591304904
3680                      2099931.3498177733
3690                      1969806.3385331642
3700                      1842556.8042888828
3710                      1717915.5122738665
3720                      1595632.878936585
3730                      1475474.8109299338
3740                      1357220.7762851515
3750                      1240662.07243808
3760                      1125600.2608675575
3770                      1011845.7422816685
3780                      899216.449723063
3790                      787536.6397475427
3800                      676635.7640878067
3810                      566347.406029156
3820                      456508.2671372873
3830                      346957.1910646347
3840                      237534.21194799198
3850                      128079.61540261115
3860                      18433.00037870002
3870                      91567.66987655697
3880                      202087.0397579631
3890                      313293.36868178134
3900                      425359.5872429288
3910                      538464.4166026006
3920                      652793.5670259359
3930                      768541.0333301479
3940                      885910.5073575961
3950                      1005116.9304363877
3960                      1126388.212360565
3970                      1249967.1477446016
3980                      1376113.5659632785
3990                      1505106.7573879792
4000                      1637248.2267099887
4010                      1772864.8340139813
4020                      1912312.396539225
4030                      2055979.8392830503
4040                      2204294.0015973207
4050                      2357725.230752134
4060                      2516793.9234783826
4070                      2682078.2146081463
4080                      2854223.060555091
4090                      3033951.027876794
4100                      3222075.1780123184
4110                      3419514.5447419537
4120                      3627312.8395015607
4130                      3846661.203444431
4140                      4078926.070994935
4150                      4325683.541828966
4160                      4588762.111784603
4170                      4870296.23950986
4180                      5172794.101005389
4190                      5499224.123756948
4200                      5853126.672341006
4210                      6238759.85364662
4220                      6661292.260079901
4230                      7127061.284508822
4240                      7643924.602625412
4250                      8221746.539575737
4260                      8873083.84378623
4270                      9614173.252046032
4280                      1.0466388062911237E7
4290                      1.14584459248099E7
4300                      1.2629862358892733E7
4310                      1.4036555200766435E7
4320                      1.576034390357326E7
4330                      1.792591530218361E7
4340                      2.073313474553482E7
4350                      2.4523770026800834E7
4360                      2.993461608426132E7
4370                      3.830347011638584E7
4380                      5.300003230723218E7
4390                      8.564513983697072E7
4400                      2.2122762790191668E8
4410                      3.829975909507985E8
4420                      1.0278858071177593E8
4430                      5.936837272348684E7
4440                      4.1722614255690634E7
4450                      3.2142735718470767E7
4460                      2.6119660667540118E7
4470                      2.197733645275348E7
4480                      1.8949807209434766E7
4490                      1.663731630561903E7
4500                      1.481082147923986E7
4510                      1.3329654846854048E7
4520                      1.21026477111071E7
4530                      1.1068116992002903E7
4540                      1.0182835453153623E7
4550                      9415608.397493342
4560                      8743358.409062283
4570                      8148645.437799662
4580                      7618043.674280551
4590                      7141048.66578545
4600                      6709323.017678857
4610                      6316164.307125648
4620                      5956122.408400843
4630                      5624719.468307303
4640                      5318241.779983557
4650                      5033582.899765634
4660                      4768123.865982431
4670                      4519640.669138208
4680                      4286232.002552177
4690                      4066262.2884075437
4700                      3858316.3376291315
4710                      3661162.961332822
4720                      3473725.535649623
4730                      3295058.0155912642
4740                      3124325.254241635
4750                      2960786.7497649905
4760                      2803783.141152103
4770                      2652724.9229577538
4780                      2507082.9626396145
4790                      2366380.49086111
4800                      2230186.302040321
4810                      2098108.9544158573
4820                      1969791.799566588
4830                      1844908.7033468753
4840                      1723160.3455603945
4850                      1604271.0059056184
4860                      1487985.7599126953
4870                      1374068.0216197548
4880                      1262297.3802818505
4890                      1152467.6869585197
4900                      1044385.353815167
4910                      937867.8346818668
4920                      832742.2600974309
4930                      728844.2039325901
4940                      626016.5618450252
4950                      524108.52444710303
4960                      422974.6302139263
4970                      322473.88491868746
4980                      222468.93582993696
4990                      122825.29005479977
5000                      23410.567338967077
