% Model:              AC -220722 - Horn.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 22 2022, 22:21
% Dimension:          1
% Nodes:              481
% Expressions:        1
% Description:        Global
% freq (Hz)               FEM
200                       90
210                       90
220                       90
230                       90
240                       90
250                       90
260                       90
270                       90
280                       90
290                       90
300                       90
310                       90
320                       90
330                       90
340                       90
350                       90
360                       90
370                       90
380                       90
390                       90
400                       90
410                       90
420                       90
430                       90
440                       90
450                       90
460                       90
470                       90
480                       90
490                       90
500                       90
510                       90
520                       90
530                       90
540                       90
550                       90
560                       90
570                       90
580                       90
590                       90
600                       90
610                       90
620                       90
630                       90
640                       90
650                       90
660                       90
670                       90
680                       90
690                       90
700                       90
710                       90
720                       90
730                       90
740                       90
750                       90
760                       90
770                       90
780                       90
790                       90
800                       90
810                       90
820                       90
830                       90
840                       90
850                       90
860                       90
870                       90
880                       90
890                       90
900                       90
910                       90
920                       90
930                       90
940                       90
950                       90
960                       90
970                       90
980                       90
990                       90
1000                      90
1010                      -90
1020                      -90
1030                      -90
1040                      -90
1050                      -90
1060                      -90
1070                      -90
1080                      -90
1090                      -90
1100                      -90
1110                      -90
1120                      -90
1130                      -90
1140                      -90
1150                      -90
1160                      -90
1170                      -90
1180                      -90
1190                      -90
1200                      -90
1210                      -90
1220                      -90
1230                      -90
1240                      -90
1250                      -90
1260                      -90
1270                      -90
1280                      -90
1290                      -90
1300                      -90
1310                      -90
1320                      -90
1330                      -90
1340                      -90
1350                      -90
1360                      -90
1370                      -90
1380                      -90
1390                      -90
1400                      -90
1410                      -90
1420                      -90
1430                      -90
1440                      -90
1450                      -90
1460                      -90
1470                      90
1480                      90
1490                      90
1500                      90
1510                      90
1520                      90
1530                      90
1540                      90
1550                      90
1560                      90
1570                      90
1580                      90
1590                      90
1600                      90
1610                      90
1620                      90
1630                      90
1640                      90
1650                      90
1660                      90
1670                      90
1680                      90
1690                      90
1700                      90
1710                      90
1720                      90
1730                      90
1740                      90
1750                      90
1760                      90
1770                      90
1780                      90
1790                      90
1800                      90
1810                      90
1820                      90
1830                      90
1840                      90
1850                      90
1860                      90
1870                      90
1880                      90
1890                      90
1900                      90
1910                      90
1920                      90
1930                      90
1940                      90
1950                      90
1960                      90
1970                      90
1980                      90
1990                      90
2000                      90
2010                      90
2020                      90
2030                      90
2040                      90
2050                      90
2060                      90
2070                      90
2080                      90
2090                      90
2100                      -90
2110                      -90
2120                      -90
2130                      -90
2140                      -90
2150                      -90
2160                      -90
2170                      -90
2180                      -90
2190                      -90
2200                      -90
2210                      -90
2220                      -90
2230                      -90
2240                      -90
2250                      -90
2260                      -90
2270                      -90
2280                      -90
2290                      -90
2300                      -90
2310                      -90
2320                      -90
2330                      -90
2340                      -90
2350                      -90
2360                      -90
2370                      -90
2380                      -90
2390                      -90
2400                      -90
2410                      -90
2420                      -90
2430                      -90
2440                      -90
2450                      -90
2460                      -90
2470                      -90
2480                      -90
2490                      -90
2500                      -90
2510                      -90
2520                      -90
2530                      -90
2540                      -90
2550                      -90
2560                      -90
2570                      -90
2580                      -90
2590                      -90
2600                      -90
2610                      -90
2620                      -90
2630                      -90
2640                      -90
2650                      -90
2660                      -90
2670                      -90
2680                      -90
2690                      -90
2700                      90
2710                      90
2720                      90
2730                      90
2740                      90
2750                      90
2760                      90
2770                      90
2780                      90
2790                      90
2800                      90
2810                      90
2820                      90
2830                      90
2840                      90
2850                      90
2860                      90
2870                      90
2880                      90
2890                      90
2900                      90
2910                      90
2920                      90
2930                      90
2940                      90
2950                      90
2960                      90
2970                      90
2980                      90
2990                      90
3000                      90
3010                      90
3020                      90
3030                      90
3040                      90
3050                      90
3060                      90
3070                      90
3080                      90
3090                      90
3100                      90
3110                      90
3120                      90
3130                      90
3140                      90
3150                      90
3160                      90
3170                      90
3180                      90
3190                      90
3200                      90
3210                      90
3220                      90
3230                      90
3240                      90
3250                      -90
3260                      -90
3270                      -90
3280                      -90
3290                      -90
3300                      -90
3310                      -90
3320                      -90
3330                      -90
3340                      -90
3350                      -90
3360                      -90
3370                      -90
3380                      -90
3390                      -90
3400                      -90
3410                      -90
3420                      -90
3430                      -90
3440                      -90
3450                      -90
3460                      -90
3470                      -90
3480                      -90
3490                      -90
3500                      -90
3510                      -90
3520                      -90
3530                      -90
3540                      -90
3550                      -90
3560                      -90
3570                      -90
3580                      -90
3590                      -90
3600                      -90
3610                      -90
3620                      -90
3630                      -90
3640                      -90
3650                      -90
3660                      -90
3670                      -90
3680                      -90
3690                      -90
3700                      -90
3710                      -90
3720                      -90
3730                      -90
3740                      -90
3750                      -90
3760                      -90
3770                      -90
3780                      -90
3790                      -90
3800                      -90
3810                      -90
3820                      -90
3830                      -90
3840                      -90
3850                      -90
3860                      -90
3870                      90
3880                      90
3890                      90
3900                      90
3910                      90
3920                      90
3930                      90
3940                      90
3950                      90
3960                      90
3970                      90
3980                      90
3990                      90
4000                      90
4010                      90
4020                      90
4030                      90
4040                      90
4050                      90
4060                      90
4070                      90
4080                      90
4090                      90
4100                      90
4110                      90
4120                      90
4130                      90
4140                      90
4150                      90
4160                      90
4170                      90
4180                      90
4190                      90
4200                      90
4210                      90
4220                      90
4230                      90
4240                      90
4250                      90
4260                      90
4270                      90
4280                      90
4290                      90
4300                      90
4310                      90
4320                      90
4330                      90
4340                      90
4350                      90
4360                      90
4370                      90
4380                      90
4390                      90
4400                      90
4410                      -90
4420                      -90
4430                      -90
4440                      -90
4450                      -90
4460                      -90
4470                      -90
4480                      -90
4490                      -90
4500                      -90
4510                      -90
4520                      -90
4530                      -90
4540                      -90
4550                      -90
4560                      -90
4570                      -90
4580                      -90
4590                      -90
4600                      -90
4610                      -90
4620                      -90
4630                      -90
4640                      -90
4650                      -90
4660                      -90
4670                      -90
4680                      -90
4690                      -90
4700                      -90
4710                      -90
4720                      -90
4730                      -90
4740                      -90
4750                      -90
4760                      -90
4770                      -90
4780                      -90
4790                      -90
4800                      -90
4810                      -90
4820                      -90
4830                      -90
4840                      -90
4850                      -90
4860                      -90
4870                      -90
4880                      -90
4890                      -90
4900                      -90
4910                      -90
4920                      -90
4930                      -90
4940                      -90
4950                      -90
4960                      -90
4970                      -90
4980                      -90
4990                      -90
5000                      -90
