% Model:              AC -220722 - Parallel Section.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 22 2022, 22:53
% Dimension:          1
% Nodes:              961
% Expressions:        1
% Description:        Global
% freq (Hz)               2DX, 
200                       5793735.188477913
205                       5605815.222274618
210                       5425573.412694853
215                       5252462.629591305
220                       5085985.092799225
225                       4925686.878933548
230                       4771153.144305425
235                       4622003.957169505
240                       4477890.6504502585
245                       4338492.620790082
250                       4203514.511052199
255                       4072683.723937994
260                       3945748.221985039
265                       3822474.576060523
270                       3702646.2302597114
275                       3586061.9554793807
280                       3472534.4681857936
285                       3361889.1940349718
290                       3253963.1586908335
295                       3148603.991042614
300                       3045669.0252838647
305                       2945024.49083801
310                       2846544.7799223587
315                       2750111.784245295
320                       2655614.2931468757
325                       2562947.446604271
330                       2472012.2371941926
335                       2382715.0558806066
340                       2294967.277066164
345                       2208684.8789040954
350                       2123788.0952630523
355                       2040201.0962155785
360                       1957851.6941808644
365                       1876671.0732955714
370                       1796593.5396420287
375                       1717556.2904352753
380                       1639499.2003143104
385                       1562364.623129742
390                       1486097.207751392
395                       1410643.726631746
400                       1335952.9158930932
405                       1261975.3258716867
410                       1188663.1811688712
415                       1115970.249282422
420                       1043851.7170611307
425                       972264.0741919532
430                       901165.0030806555
435                       830513.27448564
440                       760268.6483412344
445                       690391.7792328901
450                       620844.1260489501
455                       551587.8653220012
460                       482585.80786317494
465                       413801.31827691034
470                       345198.2369561764
475                       276740.80423077225
480                       208393.58630009033
485                       140121.40263817355
490                       71889.25452357426
495                       3662.254419456167
500                       64594.44412120812
505                       132915.71633167192
510                       201336.53616917986
515                       269892.0466185819
520                       338617.63067995996
525                       407548.9833124898
530                       476722.18468361447
535                       546173.7750193751
540                       615940.8314004244
545                       686061.0468532192
550                       756572.8120933941
555                       827515.3003259478
560                       898928.5554769484
565                       970853.5843306786
570                       1043332.4530055595
575                       1116408.3883027479
580                       1190125.8844209302
585                       1264530.8156675121
590                       1339670.5557808545
595                       1415594.1045334218
600                       1492352.222410236
605                       1569997.574149815
610                       1648584.8820687875
