% Model:              AC -220722 - Parallel Section.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 22 2022, 22:53
% Dimension:          1
% Nodes:              961
% Expressions:        1
% Description:        Global
% freq (Hz)               2DX, 
200                       3110808.426717742
205                       3215281.4629360577
210                       3322289.431903333
215                       3431980.5016976735
220                       3544513.039336612
225                       3660056.5581770027
230                       3778792.770805997
235                       3900916.761282444
240                       4026638.2930417755
245                       4156183.2710755435
250                       4289795.380511635
255                       4427737.926586599
260                       4570295.905898555
265                       4717778.34371256
270                       4870520.9379076455
275                       5028889.057852781
280                       5193281.15523294
285                       5364132.654189682
290                       5541920.401796827
295                       5727167.775006852
300                       5920450.560258247
305                       6122403.745695293
310                       6333729.395775895
315                       6555205.814938118
320                       6787698.253908648
325                       7032171.469822892
330                       7289704.5267967
335                       7561508.31651471
340                       7848946.401657788
345                       8153559.940744964
350                       8477097.65842653
355                       8821552.095048916
360                       9189203.72538375
365                       9582675.014732702
370                       1.000499712593157E7
375                       1.045969287121052E7
380                       1.0950880720778503E7
385                       1.1483406377656717E7
390                       1.206301083963717E7
395                       1.2696547322127944E7
400                       1.339226446112569E7
405                       1.41601806907819E7
410                       1.5012585980828993E7
415                       1.5964724522889214E7
420                       1.7035739367633574E7
425                       1.8250004287668984E7
430                       1.9639041636978377E7
435                       2.1244350805951443E7
440                       2.3121695025363393E7
445                       2.5347806241353914E7
450                       2.8031264471199498E7
455                       3.1330934955922265E7
460                       3.54888905611207E7
465                       4.089309709104141E7
470                       4.820682139165554E7
475                       5.86654882303667E7
480                       7.486327442358246E7
485                       1.0332949666076231E8
490                       1.6654847286458862E8
495                       4.282083208557918E8
500                       7.513923265549206E8
505                       2.0015751485314202E8
510                       1.154455126373957E8
515                       8.10980362384808E7
520                       6.248494721285952E7
525                       5.080470966211526E7
530                       4.278867453799613E7
535                       3.6943891004207164E7
540                       3.249147553340861E7
545                       2.8985290660965934E7
550                       2.615140078866909E7
555                       2.3812299563142836E7
560                       2.1847910953729976E7
565                       2.0174100794335883E7
570                       1.8730164872494265E7
575                       1.747120350555961E7
580                       1.6363292204054415E7
585                       1.5380321164039906E7
590                       1.4501867432435032E7
595                       1.371172642034612E7
600                       1.2996876106941374E7
605                       1.2346732155460084E7
610                       1.1752602880259845E7
615                       1.1207284186771192E7
620                       1.0704754266886342E7
625                       1.0239940518109377E7
630                       9808539.509253807
635                       9406876.422867838
640                       9031794.230910277
645                       8680565.515704919
650                       8350821.715521649
655                       8040495.905472511
660                       7747776.186370737
665                       7471067.45558852
670                       7208959.852596159
675                       6960202.557873154
680                       6723681.914571153
685                       6498403.06328621
690                       6283474.448513123
695                       6078094.686440981
700                       5881541.384362719
705                       5693161.581476494
710                       5512363.543071438
715                       5338609.689729595
720                       5171410.482296847
725                       5010319.115195867
730                       4854926.896016622
735                       4704859.209879047
740                       4559771.98396947
745                       4419348.581264763
750                       4283297.063760996
755                       4151347.7748677013
760                       4023251.1982198805
765                       3898776.056642803
770                       3777707.6203650753
775                       3659846.1978844106
780                       3545005.7869039224
785                       3433012.865672269
790                       3323705.3079015035
795                       3216931.406658731
800                       3112548.994529755
805                       3010424.64906331
810                       2910432.9738923223
815                       2812455.9470851445
820                       2716382.3294308633
825                       2622107.1261499687
830                       2529531.0963870212
835                       2438560.3054430145
840                       2349105.7153247064
845                       2261082.8097277055
850                       2174411.2499079057
855                       2089014.558416186
860                       2004819.8278984567
865                       1921757.4525337503
870                       1839760.8798898228
875                       1758766.3812355811
880                       1678712.8385665736
885                       1599541.5467045512
890                       1521196.0291001834
895                       1443621.8659914758
900                       1366766.5337857425
905                       1290579.254579716
910                       1215010.854866283
915                       1140013.6325428165
920                       1065541.231413623
925                       991548.5224575597
930                       917991.4911701471
935                       844827.1303773965
940                       772013.3379098579
945                       699508.8186327195
950                       627272.9903108412
955                       555265.8928367738
960                       483448.10039369634
965                       411780.63611575146
970                       340224.88886238914
975                       268742.53170830396
980                       197295.44179442685
985                       125845.62116575813
990                       54355.11826076369
995                       17214.050304011053
1000                      88899.97799637249
1005                      160740.94701137702
1010                      232775.50765439964
1015                      305042.5588010372
1020                      377581.42980354594
1025                      450431.9642054416
1030                      523634.60564508045
1035                      597230.4863601925
1040                      671261.5186910272
1045                      745770.4900438397
1050                      820801.1617682646
1055                      896398.3724570953
1060                      972608.1461953609
1065                      1049477.806342753
1070                      1127056.0954595634
1075                      1205393.3020547123
1080                      1284541.394880907
1085                      1364554.1655800994
1090                      1445487.3805338664
1095                      1527398.9428911116
1100                      1610349.0657964833
1105                      1694400.4579895968
1110                      1779618.5230358283
1115                      1866071.573596017
1120                      1953831.0622884007
1125                      2042971.8308752102
1130                      2133572.3796908995
1135                      2225715.1594569082
1140                      2319486.887868085
1145                      2414978.8936323943
1150                      2512287.490959354
1155                      2611514.387850085
1160                      2712767.1319998405
1165                      2816159.5985554433
1170                      2921812.5245659617
1175                      3029854.0955723985
1180                      3140420.5905199894
1185                      3253657.092040037
1190                      3369718.270083862
1195                      3488769.2480677064
1200                      3610986.561972024
1205                      3736559.224391067
1210                      3865689.907303954
1215                      3998596.2594701326
1220                      4135512.376764605
1225                      4276690.446742499
1230                      4422402.5921067055
1235                      4572942.941858389
1240                      4728629.963745262
1245                      4889809.097407415
1250                      5056855.734604901
1255                      5230178.60112932
1260                      5410223.605264273
1265                      5597478.229632646
1270                      5792476.558317974
1275                      5995805.049196263
1280                      6208109.183735558
1285                      6430101.154062298
1290                      6662568.781202868
1295                      6906385.900963246
1300                      7162524.507389517
1305                      7432069.010824487
1310                      7716233.053320281
1315                      8016379.433033524
1320                      8334043.829717648
1325                      8670963.205234332
1330                      9029109.990449006
1335                      9410733.482443161
1340                      9818410.290947864
1345                      1.025510622913555E7
1350                      1.072425279724667E7
1355                      1.122984243719595E7
1360                      1.1776548162510933E7
1365                      1.236987516519326E7
1370                      1.3016354836282345E7
1375                      1.3723795720934022E7
1380                      1.4501611902335966E7
1385                      1.5361258196555078E7
1390                      1.6316815013736645E7
1395                      1.738578658720936E7
1400                      1.8590209262996893E7
1405                      1.995822008945234E7
1410                      2.152632532839466E7
1415                      2.334276252949048E7
1420                      2.5472624923668347E7
1425                      2.8005929027914807E7
1430                      3.10708064209673E7
1435                      3.485606630678166E7
1440                      3.965193773913325E7
1445                      4.592873199158571E7
1450                      5.4502160883491434E7
1455                      6.6921730197967924E7
1460                      8.653528008868495E7
1465                      1.2216426150654142E8
1470                      2.0702354096816263E8
1475                      6.718659587114906E8
1480                      5.429470563334922E8
1485                      1.9373237969155273E8
1490                      1.180216564572831E8
1495                      8.491050542812352E7
1500                      6.633268722019984E7
1505                      5.443723946161911E7
1510                      4.6165139843916334E7
1515                      4.007729398435907E7
1520                      3.540759352222947E7
1525                      3.1710695407011393E7
1530                      2.8710050407442413E7
1535                      2.622485413326089E7
1540                      2.413191221584801E7
1545                      2.234438743066288E7
1550                      2.0799308802437287E7
1555                      1.944989927189199E7
1560                      1.82606842892912E7
1565                      1.7204272352685317E7
1570                      1.625917668555159E7
1575                      1.5408305334673034E7
1580                      1.4637892039820328E7
1585                      1.3936724724912608E7
1590                      1.3295579236449445E7
1595                      1.270679733058792E7
1600                      1.2163967784764316E7
1605                      1.1661682384289835E7
1610                      1.1195347045484232E7
1615                      1.0761034067829896E7
1620                      1.0355365432076966E7
1625                      9975419.79092006
1630                      9618657.72401695
1635                      9282861.205440737
1640                      8966084.227497373
1645                      8666612.25340469
1650                      8382928.710216548
1655                      8113687.135792115
1660                      7857687.897113202
1665                      7613858.627814931
1670                      7381237.709558703
1675                      7158960.258553492
1680                      6946246.184889031
1685                      6742389.975309715
1690                      6546751.916020357
1695                      6358750.523994128
1700                      6177855.996892107
1705                      6003584.525062453
1710                      5835493.335919502
1715                      5673176.362883795
1720                      5516260.44882472
1725                      5364402.008435954
1730                      5217284.085981856
1735                      5074613.754658527
1740                      4936119.812097397
1745                      4801550.7331790235
1750                      4670672.847166971
1755                      4543268.710812157
1760                      4419135.653126752
1765                      4298084.470939657
1770                      4179938.2571101566
1775                      4064531.34576836
1780                      3951708.3610225287
1785                      3841323.357288322
1790                      3733239.0409276006
1795                      3627326.064185353
1800                      3523462.383524407
1805                      3421532.675390734
1810                      3321427.8033324354
1815                      3223044.3310364597
1820                      3126284.0765458313
1825                      3031053.703407478
1830                      2937264.3450132553
1835                      2844831.2587852105
1840                      2753673.5072310893
1845                      2663713.6632054555
1850                      2574877.53700132
1855                      2487093.9231275283
1860                      2400294.3648513635
1865                      2314412.934778461
1870                      2229386.029888775
1875                      2145152.179638346
1880                      2061651.8657993174
1885                      1978827.3529074332
1890                      1896622.5282116283
1895                      1814982.7501618827
1900                      1733854.704522332
1905                      1653186.2672809914
1910                      1572926.373581308
1915                      1493024.8919525323
1920                      1413432.5031642772
1925                      1334100.5830775588
1930                      1254981.0888794386
1935                      1176026.448142444
1940                      1097189.4501461275
1945                      1018423.1389447994
1950                      939680.7076552319
1955                      860915.3934621186
1960                      782080.3728461945
1965                      703128.6565278212
1970                      624012.9836385965
1975                      544685.7145994145
1980                      465098.7222041905
1985                      385203.28036552767
1990                      304949.9499776391
1995                      224288.46131967075
2000                      143167.59239740513
2005                      61535.0425797745
2010                      20662.699138911878
2015                      103480.49198580044
2020                      186974.6881391012
2025                      271203.2851814863
2030                      356226.0871886624
2035                      442104.87544561276
2040                      528903.5898652025
2045                      616688.5222963501
2050                      705528.5230233319
2055                      795495.2218791477
2060                      886663.2655628308
2065                      979110.5728980533
2070                      1072918.609985997
2075                      1168172.687396395
2080                      1264962.281812965
2085                      1363381.3848109648
2090                      1463528.8817757396
2095                      1565508.9643358698
2100                      1669431.5800936504
