% Model:              AC -220722 - Parallel Section.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 22 2022, 22:53
% Dimension:          1
% Nodes:              961
% Expressions:        1
% Description:        Global
% freq (Hz)               2DX, 
200                       90
205                       90
210                       90
215                       90
220                       90
225                       90
230                       90
235                       90
240                       90
245                       90
250                       90
255                       90
260                       90
265                       90
270                       90
275                       90
280                       90
285                       90
290                       90
295                       90
300                       90
305                       90
310                       90
315                       90
320                       90
325                       90
330                       90
335                       90
340                       90
345                       90
350                       90
355                       90
360                       90
365                       90
370                       90
375                       90
380                       90
385                       90
390                       90
395                       90
400                       90
405                       90
410                       90
415                       90
420                       90
425                       90
430                       90
435                       90
440                       90
445                       90
450                       90
455                       90
460                       90
465                       90
470                       90
475                       90
480                       90
485                       90
490                       90
495                       90
500                       -90
505                       -90
510                       -90
515                       -90
520                       -90
525                       -90
530                       -90
535                       -90
540                       -90
545                       -90
550                       -90
555                       -90
560                       -90
565                       -90
570                       -90
575                       -90
580                       -90
585                       -90
590                       -90
595                       -90
600                       -90
605                       -90
610                       -90
615                       -90
620                       -90
625                       -90
630                       -90
635                       -90
640                       -90
645                       -90
650                       -90
655                       -90
660                       -90
665                       -90
670                       -90
675                       -90
680                       -90
685                       -90
690                       -90
695                       -90
700                       -90
705                       -90
710                       -90
715                       -90
720                       -90
725                       -90
730                       -90
735                       -90
740                       -90
745                       -90
750                       -90
755                       -90
760                       -90
765                       -90
770                       -90
775                       -90
780                       -90
785                       -90
790                       -90
795                       -90
800                       -90
805                       -90
810                       -90
815                       -90
820                       -90
825                       -90
830                       -90
835                       -90
840                       -90
845                       -90
850                       -90
855                       -90
860                       -90
865                       -90
870                       -90
875                       -90
880                       -90
885                       -90
890                       -90
895                       -90
900                       -90
905                       -90
910                       -90
915                       -90
920                       -90
925                       -90
930                       -90
935                       -90
940                       -90
945                       -90
950                       -90
955                       -90
960                       -90
965                       -90
970                       -90
975                       -90
980                       -90
985                       -90
990                       -90
995                       90
1000                      90
1005                      90
1010                      90
1015                      90
1020                      90
1025                      90
1030                      90
1035                      90
1040                      90
1045                      90
1050                      90
1055                      90
1060                      90
1065                      90
1070                      90
1075                      90
1080                      90
1085                      90
1090                      90
1095                      90
1100                      90
1105                      90
1110                      90
1115                      90
1120                      90
1125                      90
1130                      90
1135                      90
1140                      90
1145                      90
1150                      90
1155                      90
1160                      90
1165                      90
1170                      90
1175                      90
1180                      90
1185                      90
1190                      90
1195                      90
1200                      90
1205                      90
1210                      90
1215                      90
1220                      90
1225                      90
1230                      90
1235                      90
1240                      90
1245                      90
1250                      90
1255                      90
1260                      90
1265                      90
1270                      90
1275                      90
1280                      90
1285                      90
1290                      90
1295                      90
1300                      90
1305                      90
1310                      90
1315                      90
1320                      90
1325                      90
1330                      90
1335                      90
1340                      90
1345                      90
1350                      90
1355                      90
1360                      90
1365                      90
1370                      90
1375                      90
1380                      90
1385                      90
1390                      90
1395                      90
1400                      90
1405                      90
1410                      90
1415                      90
1420                      90
1425                      90
1430                      90
1435                      90
1440                      90
1445                      90
1450                      90
1455                      90
1460                      90
1465                      90
1470                      90
1475                      90
1480                      -90
1485                      -90
1490                      -90
1495                      -90
1500                      -90
1505                      -90
1510                      -90
1515                      -90
1520                      -90
1525                      -90
1530                      -90
1535                      -90
1540                      -90
1545                      -90
1550                      -90
1555                      -90
1560                      -90
1565                      -90
1570                      -90
1575                      -90
1580                      -90
1585                      -90
1590                      -90
1595                      -90
1600                      -90
1605                      -90
1610                      -90
1615                      -90
1620                      -90
1625                      -90
1630                      -90
1635                      -90
1640                      -90
1645                      -90
1650                      -90
1655                      -90
1660                      -90
1665                      -90
1670                      -90
1675                      -90
1680                      -90
1685                      -90
1690                      -90
1695                      -90
1700                      -90
1705                      -90
1710                      -90
1715                      -90
1720                      -90
1725                      -90
1730                      -90
1735                      -90
1740                      -90
1745                      -90
1750                      -90
1755                      -90
1760                      -90
1765                      -90
1770                      -90
1775                      -90
1780                      -90
1785                      -90
1790                      -90
1795                      -90
1800                      -90
1805                      -90
1810                      -90
1815                      -90
1820                      -90
1825                      -90
1830                      -90
1835                      -90
1840                      -90
1845                      -90
1850                      -90
1855                      -90
1860                      -90
1865                      -90
1870                      -90
1875                      -90
1880                      -90
1885                      -90
1890                      -90
1895                      -90
1900                      -90
1905                      -90
1910                      -90
1915                      -90
1920                      -90
1925                      -90
1930                      -90
1935                      -90
1940                      -90
1945                      -90
1950                      -90
1955                      -90
1960                      -90
1965                      -90
1970                      -90
1975                      -90
1980                      -90
1985                      -90
1990                      -90
1995                      -90
2000                      -90
2005                      -90
2010                      90
2015                      90
2020                      90
2025                      90
2030                      90
2035                      90
2040                      90
2045                      90
2050                      90
2055                      90
2060                      90
2065                      90
2070                      90
2075                      90
2080                      90
2085                      90
2090                      90
2095                      90
2100                      90
2105                      90
2110                      90
2115                      90
2120                      90
2125                      90
2130                      90
2135                      90
2140                      90
2145                      90
2150                      90
2155                      90
2160                      90
2165                      90
2170                      90
2175                      90
2180                      90
2185                      90
2190                      90
2195                      90
2200                      90
2205                      90
2210                      90
2215                      90
2220                      90
2225                      90
2230                      90
2235                      90
2240                      90
2245                      90
2250                      90
2255                      90
2260                      90
2265                      90
2270                      90
2275                      90
2280                      90
2285                      90
2290                      90
2295                      90
2300                      90
2305                      90
2310                      90
2315                      90
2320                      90
2325                      90
2330                      90
2335                      90
2340                      90
2345                      90
2350                      90
2355                      90
2360                      90
2365                      90
2370                      90
2375                      90
2380                      90
2385                      90
2390                      90
2395                      90
2400                      90
2405                      90
2410                      90
2415                      90
2420                      -90
2425                      -90
2430                      -90
2435                      -90
2440                      -90
2445                      -90
2450                      -90
2455                      -90
2460                      -90
2465                      -90
2470                      -90
2475                      -90
2480                      -90
2485                      -90
2490                      -90
2495                      -90
2500                      -90
2505                      -90
2510                      -90
2515                      -90
2520                      -90
2525                      -90
2530                      -90
2535                      -90
2540                      -90
2545                      -90
2550                      -90
2555                      -90
2560                      -90
2565                      -90
2570                      -90
2575                      -90
2580                      -90
2585                      -90
2590                      -90
2595                      -90
2600                      -90
2605                      -90
2610                      -90
2615                      -90
2620                      -90
2625                      -90
2630                      -90
2635                      -90
2640                      -90
2645                      -90
2650                      -90
2655                      -90
2660                      -90
2665                      -90
2670                      -90
2675                      -90
2680                      -90
2685                      -90
2690                      -90
2695                      -90
2700                      -90
2705                      -90
2710                      -90
2715                      -90
2720                      -90
2725                      -90
2730                      -90
2735                      -90
2740                      -90
2745                      -90
2750                      -90
2755                      -90
2760                      -90
2765                      -90
2770                      -90
2775                      -90
2780                      -90
2785                      -90
2790                      -90
2795                      -90
2800                      -90
2805                      -90
2810                      -90
2815                      -90
2820                      -90
2825                      -90
2830                      -90
2835                      -90
2840                      -90
2845                      -90
2850                      -90
2855                      -90
2860                      -90
2865                      -90
2870                      -90
2875                      -90
2880                      -90
2885                      -90
2890                      -90
2895                      -90
2900                      -90
2905                      -90
2910                      -90
2915                      -90
2920                      -90
2925                      -90
2930                      -90
2935                      -90
2940                      -90
2945                      -90
2950                      -90
2955                      -90
2960                      -90
2965                      -90
2970                      -90
2975                      -90
2980                      -90
2985                      -90
2990                      -90
2995                      -90
3000                      -90
3005                      -90
3010                      -90
3015                      -90
3020                      -90
3025                      -90
3030                      -90
3035                      -90
3040                      -90
3045                      -90
3050                      90
3055                      90
3060                      90
3065                      90
3070                      90
3075                      90
3080                      90
3085                      90
3090                      90
3095                      90
3100                      90
3105                      90
3110                      90
3115                      90
3120                      90
3125                      90
3130                      90
3135                      90
3140                      90
3145                      90
3150                      90
3155                      90
3160                      90
3165                      90
3170                      90
3175                      90
3180                      90
3185                      90
3190                      90
3195                      90
3200                      90
3205                      90
3210                      90
3215                      90
3220                      90
3225                      90
3230                      90
3235                      90
3240                      90
3245                      90
3250                      90
3255                      90
3260                      90
3265                      90
3270                      90
3275                      90
3280                      90
3285                      90
3290                      90
3295                      90
3300                      90
3305                      90
3310                      90
3315                      90
3320                      90
3325                      90
3330                      90
3335                      90
3340                      90
3345                      90
3350                      -90
3355                      -90
3360                      -90
3365                      -90
3370                      -90
3375                      -90
3380                      -90
3385                      -90
3390                      -90
3395                      -90
3400                      -90
3405                      -90
3410                      -90
3415                      -90
3420                      -90
3425                      -90
3430                      -90
3435                      -90
3440                      -90
3445                      -90
3450                      -90
3455                      -90
3460                      -90
3465                      -90
3470                      -90
3475                      -90
3480                      -90
3485                      -90
3490                      -90
3495                      -90
3500                      -90
3505                      -90
3510                      -90
3515                      -90
3520                      -90
3525                      -90
3530                      -90
3535                      -90
3540                      -90
3545                      -90
3550                      -90
3555                      -90
3560                      -90
3565                      -90
3570                      -90
3575                      -90
3580                      -90
3585                      -90
3590                      -90
3595                      -90
3600                      -90
3605                      -90
3610                      -90
3615                      -90
3620                      -90
3625                      -90
3630                      -90
3635                      -90
3640                      -90
3645                      -90
3650                      -90
3655                      -90
3660                      -90
3665                      -90
3670                      -90
3675                      -90
3680                      -90
3685                      -90
3690                      -90
3695                      -90
3700                      -90
3705                      -90
3710                      -90
3715                      -90
3720                      -90
3725                      -90
3730                      -90
3735                      -90
3740                      -90
3745                      -90
3750                      -90
3755                      -90
3760                      -90
3765                      -90
3770                      -90
3775                      -90
3780                      -90
3785                      -90
3790                      -90
3795                      -90
3800                      -90
3805                      -90
3810                      -90
3815                      -90
3820                      -90
3825                      -90
3830                      -90
3835                      -90
3840                      -90
3845                      -90
3850                      -90
3855                      -90
3860                      -90
3865                      -90
3870                      -90
3875                      -90
3880                      -90
3885                      -90
3890                      -90
3895                      -90
3900                      -90
3905                      -90
3910                      -90
3915                      -90
3920                      -90
3925                      -90
3930                      -90
3935                      -90
3940                      -90
3945                      -90
3950                      -90
3955                      -90
3960                      -90
3965                      -90
3970                      -90
3975                      -90
3980                      -90
3985                      -90
3990                      -90
3995                      -90
4000                      -90
4005                      -90
4010                      -90
4015                      -90
4020                      -90
4025                      -90
4030                      -90
4035                      -90
4040                      -90
4045                      -90
4050                      -90
4055                      -90
4060                      -90
4065                      -90
4070                      -90
4075                      -90
4080                      -90
4085                      -90
4090                      -90
4095                      -90
4100                      -90
4105                      -90
4110                      90
4115                      90
4120                      90
4125                      90
4130                      90
4135                      90
4140                      90
4145                      90
4150                      90
4155                      90
4160                      90
4165                      90
4170                      90
4175                      90
4180                      90
4185                      90
4190                      90
4195                      90
4200                      90
4205                      90
4210                      90
4215                      90
4220                      90
4225                      90
4230                      90
4235                      90
4240                      90
4245                      90
4250                      90
4255                      90
4260                      90
4265                      90
4270                      90
4275                      90
4280                      90
4285                      90
4290                      90
4295                      90
4300                      90
4305                      90
4310                      90
4315                      90
4320                      90
4325                      -90
4330                      -90
4335                      -90
4340                      -90
4345                      -90
4350                      -90
4355                      -90
4360                      -90
4365                      -90
4370                      -90
4375                      -90
4380                      -90
4385                      -90
4390                      -90
4395                      -90
4400                      -90
4405                      -90
4410                      -90
4415                      -90
4420                      -90
4425                      -90
4430                      -90
4435                      -90
4440                      -90
4445                      -90
4450                      -90
4455                      -90
4460                      -90
4465                      -90
4470                      -90
4475                      -90
4480                      -90
4485                      -90
4490                      -90
4495                      -90
4500                      -90
4505                      -90
4510                      -90
4515                      -90
4520                      -90
4525                      -90
4530                      -90
4535                      -90
4540                      -90
4545                      -90
4550                      -90
4555                      -90
4560                      -90
4565                      -90
4570                      -90
4575                      -90
4580                      -90
4585                      -90
4590                      -90
4595                      -90
4600                      -90
4605                      -90
4610                      -90
4615                      -90
4620                      -90
4625                      -90
4630                      -90
4635                      -90
4640                      -90
4645                      -90
4650                      -90
4655                      -90
4660                      -90
4665                      -90
4670                      -90
4675                      -90
4680                      -90
4685                      -90
4690                      -90
4695                      -90
4700                      -90
4705                      -90
4710                      -90
4715                      -90
4720                      -90
4725                      -90
4730                      -90
4735                      -90
4740                      -90
4745                      -90
4750                      -90
4755                      -90
4760                      -90
4765                      -90
4770                      -90
4775                      -90
4780                      -90
4785                      -90
4790                      -90
4795                      -90
4800                      -90
4805                      -90
4810                      -90
4815                      -90
4820                      -90
4825                      -90
4830                      -90
4835                      -90
4840                      -90
4845                      -90
4850                      -90
4855                      -90
4860                      -90
4865                      -90
4870                      -90
4875                      -90
4880                      -90
4885                      -90
4890                      -90
4895                      -90
4900                      -90
4905                      -90
4910                      -90
4915                      -90
4920                      -90
4925                      -90
4930                      -90
4935                      -90
4940                      -90
4945                      -90
4950                      -90
4955                      -90
4960                      -90
4965                      -90
4970                      -90
4975                      -90
4980                      -90
4985                      -90
4990                      -90
4995                      -90
5000                      -90
