Location	Area
m	m^2
0.00000	0.00010157
0.16826	0.00010157
0.17343	0.00010268
0.17859	0.00010426
0.18376	0.00010536
0.18892	0.00010783
0.19409	0.00011401
0.19925	0.00012424
0.20442	0.00013753
0.20958	0.00015268
0.21475	0.00016878
0.21991	0.00018544
0.22508	0.00020276
0.23024	0.00022138
0.23541	0.00024235
0.24057	0.00026662
0.24574	0.00029482
0.25090	0.00032735
0.25607	0.00036385
0.26123	0.00040644
0.26623	0.00042733
0.27123	0.00049647
0.27623	0.00059285
0.28123	0.00072482
0.28623	0.00091100
0.29123	0.00116685
0.29623	0.00147168
0.30123	0.00174862
0.30623	0.00222514
