Location	Area
m	m^2
0.00000	0.00010166
0.17696	0.00010166
0.18207	0.00010242
0.18718	0.00010416
0.19229	0.00010436
0.19740	0.00010575
0.20251	0.00011141
0.20762	0.00012097
0.21273	0.00013338
0.21784	0.00014805
0.22295	0.00016420
0.22806	0.00018052
0.23317	0.00019672
0.23828	0.00021520
0.24339	0.00023708
0.24850	0.00026030
0.25361	0.00028556
0.25872	0.00031832
0.26383	0.00035688
0.26894	0.00038991
0.27405	0.00042250
0.27916	0.00047793
0.28427	0.00056806
0.28938	0.00069476
0.29449	0.00087182
0.29960	0.00112148
0.30471	0.00141969
0.30982	0.00172123
0.31493	0.00217157
