Location	Area
m	m^2
0.00000	0.00010157
0.14629	0.00010157
0.14899	0.00012540
0.15168	0.00015805
0.15438	0.00019448
0.15707	0.00023468
0.15977	0.00027866
0.16246	0.00032641
0.16516	0.00037794
0.16785	0.00043324
0.17055	0.00049232
0.17325	0.00055517
0.17594	0.00062180
0.17864	0.00069220
0.18133	0.00076637
0.18403	0.00084432
0.18672	0.00092605
0.18942	0.00101155
0.19212	0.00110082
0.19481	0.00119387
0.19751	0.00129070
0.20020	0.00139130
0.20290	0.00149567
0.20559	0.00160382
0.20829	0.00171574
0.21098	0.00183144
0.21368	0.00195591
0.21638	0.00207416
0.21907	0.00220118
