Freq.	I(V1)	I(V1)/(2*pi*freq)	I(V2)	I(V2)/(2*pi*freq)
1.00000000000000e+002	(-4.53916324252565e+001dB,-9.00003076699784e+001°)	(-1.01355229792419e+002dB,-9.00003076699784e+001°)	(-1.00385097427162e+002dB,8.99996908258106e+001°)	(-1.56348694794324e+002dB,8.99996908258106e+001°)
1.00230523807790e+002	(-4.53680216114553e+001dB,-9.00003085075877e+001°)	(-1.01351618978618e+002dB,-9.00003085075877e+001°)	(-1.00361469076709e+002dB,8.99996899847315e+001°)	(-1.56345066443871e+002dB,8.99996899847315e+001°)
1.00461579027840e+002	(-4.53443926172346e+001dB,-9.00003093481256e+001°)	(-1.01347989984397e+002dB,-9.00003093481256e+001°)	(-1.00337822464819e+002dB,8.99996891407159e+001°)	(-1.56341419831981e+002dB,8.99996891407159e+001°)
1.00693166885180e+002	(-4.53207453433942e+001dB,-9.00003101916069e+001°)	(-1.01344342710556e+002dB,-9.00003101916069e+001°)	(-1.00314157491915e+002dB,8.99996882937487e+001°)	(-1.56337754859078e+002dB,8.99996882937487e+001°)
1.00925288607668e+002	(-4.52970796901146e+001dB,-9.00003110380469e+001°)	(-1.01340677057277e+002dB,-9.00003110380469e+001°)	(-1.00290474057804e+002dB,8.99996874438149e+001°)	(-1.56334071424966e+002dB,8.99996874438149e+001°)
1.01157945425990e+002	(-4.52733955569535e+001dB,-9.00003118874608e+001°)	(-1.01336992924116e+002dB,-9.00003118874608e+001°)	(-1.00266772061664e+002dB,8.99996865908990e+001°)	(-1.56330369428826e+002dB,8.99996865908990e+001°)
1.01391138573668e+002	(-4.52496928428402e+001dB,-9.00003127398641e+001°)	(-1.01333290210003e+002dB,-9.00003127398641e+001°)	(-1.00243051402044e+002dB,8.99996857349858e+001°)	(-1.56326648769206e+002dB,8.99996857349858e+001°)
1.01624869287070e+002	(-4.52259714460714e+001dB,-9.00003135952721e+001°)	(-1.01329568813234e+002dB,-9.00003135952721e+001°)	(-1.00219311976860e+002dB,8.99996848760596e+001°)	(-1.56322909344022e+002dB,8.99996848760596e+001°)
1.01859138805412e+002	(-4.52022312643061e+001dB,-9.00003144537007e+001°)	(-1.01325828631468e+002dB,-9.00003144537007e+001°)	(-1.00195553683387e+002dB,8.99996840141049e+001°)	(-1.56319151050550e+002dB,8.99996840141049e+001°)
1.02093948370768e+002	(-4.51784721945611e+001dB,-9.00003153151653e+001°)	(-1.01322069561723e+002dB,-9.00003153151653e+001°)	(-1.00171776418257e+002dB,8.99996831491058e+001°)	(-1.56315373785420e+002dB,8.99996831491058e+001°)
